,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
454,BLEDINA BLEDINER BOLS 4x200g 2 Légumes du potager pâtes étoile / 2 Méli Mélo de Courgettes et Aubergines riz Dès 12 Mois - 800g,3041090980510,,"['Blédina', 'Blediner']",,,,['France'],"['Blédîner Bols Légumes du potager et Pâtes étoiles : Lait écrémé reconstitué à base de lait en poudre 33,0 % ', 'LAIT', ' - Haricots verts 12,0 % - Pâtes cuites ', 'semoule de blé dur', ""blanc d'œuf"", ' 12,0 % ', 'ŒUF', 'GLUTEN', ' - Carottes 10,0 % - Petits pois 9,17 % - Poireaux 8,00 % - Épinards - Oignons - Huiles végétales ', 'colza', 'tournesol', ' - Crème ', 'LAIT', ' - Pommes de terre - Amidon transformé de maïs - Ciboulette - Sel - Diphosphate ferrique', 'Blédîner Bols Méli-Mélo de Courgettes et Aurbergines Riz : Lait écrémé reconstitué à base de lait en poudre 39,0 % ', 'LAIT', ' - Courgettes 13,3 % - Riz cuit 12,7 % - Aubergines 11,0 % - Panais - Oignons - Amidon transformé de maïs - Crème ', 'LAIT', ' - Carottes - Huiles végétales ', 'colza', 'tournesol', ' - Ail - Jus de citron reconstitué à base de jus concentré - Basilic - Sel - Thym - Diphosphate ferrique']",['Non végétalien'],?,,67,,"2,3",,"9,2",,"2,1",,,,,,,,,280 kj(67 kcal),"0,6","3,1","0,25","0,1",,,,,,,,,,,,,,,,,,,800 g,,,['E14XX - Amidons modifiés'],"['Œufs', 'Gluten', 'Lait']",4,,,Plat adapté à bébé pour le dîner,,
455,Escalope de dinde l'extra tendre,2431638019610,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,['France'],[],[],?,,97,-20%,0,-100%,1,-67%,23,+0%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,406 kj(97 kcal),0,0,"1,1","0,44",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,1.1 g,en quantité modérée,-19%,-100%,-100%,+99%,+99%,0,,B,,,,,,,,,,,,
456,Huile colza,3265475148009,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,,['France'],[],[],?,,900,+3%,100,+3%,0,-100%,0,-100%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,3766 kj(900 kcal),7,0,0,0,,100 g,en quantité élevée,7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+4%,-2%,-100%,-100%,-100%,5,-1%,C,-1%,,,,,,,,,,,
457,Lait de coco,8850161166150,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Laits de coco']",,,['France'],[],[],?,,184,+16%,19,+22%,"1,9",-31%,"1,6",+26%,30.3%,10.4%,21.2%,23.2%,11.5%,3.4%,75,770 kj(184 kcal),17,"1,4","0,05","0,02",,19 g,en quantité élevée,17 g,en quantité élevée,1.4 g,en faible quantité,0.05 g,en faible quantité,+17%,+25%,-17%,-32%,-32%,12,+26%,D,+26%,,,,,,,,,,,
458,Macaroni Cheese - By Sainsbury's,00280631,,"[""By Sainsbury's""]",,,,"['France', 'Royaume-Uni']","['cooked macaroni ', '43%', ' ', 'water', 'durum wheat semolina', 'water', ""cows' milk"", 'mature cheddar cheese ', ""cows' milk"", ' ', '16%', 'single cream ', 'cows milk', ' ', '5%', 'cornflour', 'english mustard ', 'water', 'mustard flour', 'salt', 'wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin', 'thiamin', 'turmeric', 'salt', 'white pepper', 'bay', 'allergy advice: for allergens', 'including cereals containing gluten', 'see ingredients in bold,']",['Non végétalien'],?,,168,,"7,4",,"16,9",,"7,6",,,,,,,,,703 kj(168 kcal),"4,7","1,4","0,52","0,208",,,,,,,,,,,,,,,,,,,,"['pp-tray', 'mixed plastic-film', 'card-sleeve']",,,['Gluten'],,,,,,
459,Olives farcies ederki,3277510006441,B,['Ederki'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies']",,,['France'],[],[],?,,189,+15%,16,+1%,"3,8",+122%,"3,9",+132%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,791 kj(189 kcal),"1,2","0,4","2,1","0,84",,16 g,en quantité modérée,1.2 g,en faible quantité,0.4 g,en faible quantité,2.1 g,en quantité élevée,+16%,-55%,+92%,-37%,-37%,12,-2%,D,-2%,,,,,,,,,,,
460,Gourmandise - 0300kg,4800125000017,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0300 kg,,,,,,,,,,
461,Madeleine cœur pomme poire,3259426039157,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['en:produced-in-bretagne'],,['France'],[],[],?,,410,-7%,18,-21%,57,+8%,0,-100%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,1715 kj(410 kcal),"1,7",31,"0,9","0,36",,18 g,en quantité modérée,1.7 g,en quantité modérée,31 g,en quantité élevée,0.9 g,en quantité modérée,-7%,-75%,+13%,+11%,+11%,15,-18%,D,-18%,,,,,,,,,,,
462,Milk chocolate -,0070920476339,,,,['en:Verified'],,['France'],"['INGREDIENTS: SUGAR', 'CORN SYRUP,MODIFIED WHEY', 'COCOA ', 'PROCESSED WITH ALKALI', 'HYDROGENATED COCONUT OIL', 'NONFAT MILK', 'LESS THAN 2% OF: SALT', 'DIPOTASSIUM PHOSPHATE', 'MONO-AND DIGLYCERIDES', 'NATURAL FLAVOR', ' CONTAINS: MILK']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,,160,,46,,28,,1,,,,,,,,,669 kj(160 kcal),10,3,0,0,,,,,,,,,,,,,,,,,,,,,,"['E340ii - Phosphate dipotassique', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Lait'],4,,,,,
463,Oeuf soleil et clochettes,3274646160818,,,,,,['France'],[],[],?,,531,,30,,60,,"5,3",,,,,,,,,2222 kj(531 kcal),18,58,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Super œuf en chocolat au lait,8714786290617,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Doudou Daddy,3770007109002,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,418,,"16,7",,"52,6",,"10,3",,,,,,,,,1749 kj(418 kcal),"2,1","19,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Fuet extra Espetec - Exquisitos,8436566508841,,['Exquisitos'],"['Viandes', 'Charcuteries']","['en:gluten-free', 'Sans colorants']",,"['France', 'Espagne']",[],[],?,,480,+84%,38,+97%,"2,6",+77%,32,+71%,,,,,,,,2008 kj(480 kcal),15,"1,5","4,1","1,64",,38 g,en quantité élevée,15 g,en quantité élevée,1.5 g,en faible quantité,4.1 g,en quantité élevée,+86%,+106%,+89%,+72%,+72%,25,+56%,E,+56%,,,,,,,,,,,
467,Huile d'olive,3760022241030,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,['France'],[],[],?,,823,-4%,92,-4%,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,3443 kj(823 kcal),12,0,0,0,,92 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-14%,,-100%,-100%,6,-2%,C,-2%,,,,,,,,,,,
468,Fudge - Cadbury - 25.5g,96095232,,['Cadbury'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,"['France', 'États-Unis']","['sugar', 'glucose syrup', 'palm oil', 'skimmed milk powder', 'cocoa butter', 'cocoa mass', 'whey permeate powder ', 'from milk', 'milk fat', 'emulsifiers ', 'e471', 'e442', 'sunflower lecithin', 'sodium hydrogen carbonate', 'salt', 'flavourings,']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,488,+16%,15,+2%,74,+11%,"2,4",-43%,,,,,,,,2042 kj(488 kcal),"8,2",65,"0,34","0,136",,15 g,en quantité modérée,8.2 g,en quantité élevée,65 g,en quantité élevée,0.34 g,en quantité modérée,+16%,+27%,+31%,+131%,+131%,25,+37%,E,+37%,25.5 g,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E442 - Phosphatides d'ammonium"", 'E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",['Lait'],4,,,,,
469,La fraise de Goulaine - 250g,3760251430045,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
470,Eau Minéral HIPP,4062300336001,,['Hipp'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Julienne de courgettes bio,3570250050447,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Volvic,05769148,,['Volvic'],,['Sans conservateurs'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Œufs pralinés au chocolat noir - François Pralus,3760085323704,,['François Pralus'],,,,['France'],[],[],?,,582,,42,,34,,12,,,,,,,,,2435 kj(582 kcal),16,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Barres croustillantes,26060873,,,,,,['France'],[],[],?,,501,,26,,59,,"6,6",,,,,,,,,2096 kj(501 kcal),15,36,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Graines de lin doré - Biothentic,3760092214842,D,['Biothentic'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Lins', 'Graine de lin doré']","['Bio', 'Agriculture UE/Non UE']",,['France'],[],[],?,,492,+1%,34,-7%,"34,2",+235%,"19,5",-1%,87.9%,0.0%,4.6%,2.5%,3.1%,1.9%,35,2059 kj(492 kcal),0,0,0,0,,34 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,+3%,-100%,-100%,-100%,-100%,1,-45%,B,-45%,,,,,,,,,,,
476,Assortiment de nougats colorés,3760115963191,,,,,,['France'],[],[],?,,398,,"1,7",,92,,"3,3",,,,,,,,,1665 kj(398 kcal),"1,7",83,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Pop corn,3770004896813,,,,,,['France'],[],[],?,,473,,"16,3",,"78,8",,"2,8",,,,,,,,,1979 kj(473 kcal),"10,3","37,3","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Pastis des homs,3770011454013,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Jambon superieur sans couenne,2273695024738,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']","['Viande-francaise', 'Viande-porcine-francaise']","['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)', 'EMB 14752B', 'Villers-Bocage (Calvados, France)']",['France'],[],[],?,,111,-16%,3,-38%,1,+49%,20,-5%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,464 kj(111 kcal),"1,2","0,5","2,1","0,84",,3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,-15%,-35%,-16%,+12%,+12%,11,+56%,D,+56%,,,,,,,,,,,
480,Hampes,2464890055300,,,,"['Viande-francaise', 'Viande-bovine-francaise']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Filets de poulet - Auchan,2600497070975,D,['Auchan'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,['France'],[],[],?,,110,-16%,"1,5",-48%,"0,5",+4%,24,+5%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,460 kj(110 kcal),"0,5","0,5","0,1","0,04",['Auchan'],1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,-15%,-33%,+106%,-87%,-87%,-4,,A,,,,,,,,,,,,
482,Dr.Pepper,5902860412014,,,,,,['France'],[],[],?,,28,,0,,"6,8",,0,,,,,,,,,117 kj(28 kcal),0,"6,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Tablette chocolat noir,3760246620376,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Tè al Limone - 750g,8004990128838,,,,['en:gluten-free'],,['France'],[],[],?,,387,,0,,96,,"0,5",,,,,,,,,1619 kj(387 kcal),0,94,"0,4","0,16",,,,,,,,,,,,,,,,,,,750 g,,,,,,,,,,
485,Fresh milk - 250ml,5011056022095,,,,,,['France'],[],[],?,,64,,"3,5",,"4,7",,"3,4",,,,,,,,,268 kj(64 kcal),"2,2","4,7","0,11","0,044",,,,,,,,,,,,,,,,,,,250 ml,,,,,,,,,,
486,Tikka Massala - 400g,5413660011104,,,,,,['France'],[],[],?,,158,,"9,1",,"11,3",,"6,5",,,,,,,,,661 kj(158 kcal),"4,1","3,2","0,7","0,28",,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,
487,Poivron doux bio,3664672000422,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Abricots secs,3502490227921,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,['France'],[],[],?,,230,-13%,"0,4",-17%,50,-14%,"2,4",-22%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,962 kj(230 kcal),"0,2",39,"0,08","0,032",,0.4 g,en faible quantité,0.2 g,en faible quantité,39 g,en quantité élevée,0.08 g,en faible quantité,-13%,+230%,-14%,+127%,+127%,4,+16%,C,+16%,,,,,,,,,,,
489,Salade de fruit -  - 120g,3683080084817,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']",,,['France'],"['ananas 60%', 'fraise 20%', 'raisin 25%', 'kiwi 15%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,30,-49%,"0,5",+47%,"7,6",-39%,"0,5",-6%,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,126 kj(30 kcal),"0,5","6,7","0,5","0,2",,0.5 g,en faible quantité,0.5 g,en faible quantité,6.7 g,en quantité modérée,0.5 g,en quantité modérée,-48%,+385%,-39%,+1725%,+1725%,-2,,A,,120 g,,,,,1,,,,,
490,Jambon Serrano,8421395034906,E,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,['France'],[],[],?,,222,-7%,"10,1",-20%,"1,1",+53%,"31,8",+5%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,929 kj(222 kcal),4,"0,8","4,8","1,92",,10.1 g,en quantité modérée,4 g,en quantité modérée,0.8 g,en faible quantité,4.8 g,en quantité élevée,-7%,-14%,+79%,+2%,+2%,15,-9%,D,-9%,,,,,,,,,,,
491,Chichin de canard - Bixente Ibarra,3482970009936,,['Bixente Ibarra'],,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,,467,,43,,0,,20,,,,,,,,,1954 kj(467 kcal),13,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Tradizione - 1000.0g,3245678168783,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0 g,,,,,,,,,,
493,Figues sèches - Bio Pays,3760002452036,D,['Bio Pays'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Figues sèches']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,69.5%,21.7%,2.7%,4.1%,1.9%,0.0%,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Turquie'],,,,
494,2 escalopes fines de poulet,2255721053721,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Graines de sésame pelées,3760270850121,,,,,,['France'],[],[],?,,652,,59,,"11,3",,"24,5",,,,,,,,,2728 kj(652 kcal),"9,5","0,7","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,La blonde d'Aquitaine,40882222,,,,,,['France'],[],[],?,,113,,23,,0,,23,,,,,,,,,473 kj(113 kcal),"0,8",0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Poires «du Pays Viennois» - BRUNETON - 230g,3770003905585,D,['BRUNETON'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Produits artisanaux', 'Confitures', 'Confitures artisanales']","['Végétarien', 'Végétalien']",,['France'],"['Poires 38 %', 'châtaignes 20 % sucre', 'jus de citron', 'gousses de vanille', 'gélifiant végétal: agar-agar']","['Végétalien', 'Végétarien']",?,,219,-1%,"0,1",-45%,53,+3%,"0,8",+34%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,916 kj(219 kcal),"0,01",51,"0,01","0,004",,0.1 g,en faible quantité,0.01 g,en faible quantité,51 g,en quantité élevée,0.01 g,en faible quantité,-1%,-60%,+5%,-50%,-50%,11,+16%,D,+16%,230g,,,['E406 - Agar-agar'],,4,,,,,
498,"Millet, lin brun, sésame, tournesol, pavot - La Vie Claire - 250g",3266191017051,,['La Vie Claire'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,
499,Pommes de terre -,3030210540758,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre']",,,['France'],"['pommes de terre', 'eau', 'sel', 'acidifiant: acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,56,-43%,"0,5",-76%,12,-32%,"1,1",-46%,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,234 kj(56 kcal),"0,1","0,6","0,53","0,212",,0.5 g,en faible quantité,0.1 g,en faible quantité,0.6 g,en faible quantité,0.53 g,en quantité modérée,-43%,-71%,+9%,+145%,+145%,-3,,A,,,,,['E330 - Acide citrique'],,3,,,,,
500,Jambon fumé au bois de hetre,2429138041330,,,,,,['France'],[],[],?,,131,,"5,1",,"0,1",,"21,4",,,,,,,,,548 kj(131 kcal),"1,8","0,1","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,3700000005100,3700000005100,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Biére Blonde La Nestoise,3770010692010,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Poulet trop bon,0201887045591,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Beaujolais nouveau beaujolais nouveau Beaujolais nouveau -  - 75cl,3198129881253,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Beaujolais', 'Beaujolais nouveau']",,,['France'],['BEA'],[],?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,75cl,,,,,,['France'],,,,
505,Sucrine barquette,8436045732248,B,,"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,,['France'],[],[],?,,?,,?,,?,,?,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,brown sauce - 385g,5391515250116,,,,,,['France'],[],[],?,,122,,"0,1",,30,,"0,3",,,,,,,,,510 kj(122 kcal),"0,1",26,"0,8","0,32",,,,,,,,,,,,,,,,,,,385 g,,,,,,,,,,
507,Ail,3304430621932,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Emmental,3228024180080,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['Fabriqué en France'],,['France'],[],[],?,,369,-2%,29,-1%,0,-100%,27,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1544 kj(369 kcal),21,0,"0,6","0,24",,29 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,0.6 g,en quantité modérée,-2%,+7%,-100%,-8%,-8%,11,-4%,D,-4%,,,,,,,,,,,
509,Jutonic,3661030143623,,,,,,['France'],[],[],?,,300,,2,,6,,"0,1",,,,,,,,,1255 kj(300 kcal),1,4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Gelatina Ananas Light,5602477812374,,,,,,['France'],[],[],?,,9,,0,,0,,"2,2",,,,,,,,,38 kj(9 kcal),0,0,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Filets d'aubergines - Bio Gustiamo,8029689021559,,['Bio Gustiamo'],,['Bio'],,['France'],[],[],?,,54,,"3,3",,"1,9",,"0,78",,,,,,,,,226 kj(54 kcal),"0,49","1,3","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Comme des Pyrénées,0261998010109,,,,['IGP'],"['FR 62.907.030 CE', 'Libercourt (Pas-de-Calais, France)']",['France'],[],[],?,,346,,28,,"1,5",,22,,,,,,,,,1448 kj(346 kcal),20,"0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Raisin Golden Jumbo - 350g,3569880002018,,,,,,['France'],[],[],?,,314,,"0,6",,"73,9",,"3,1",,,,,,,,,1314 kj(314 kcal),"0,3","68,9","0,22","0,088",,,,,,,,,,,,,,,,,,,350 g,,,,,,,,,,
514,Cuisse de poulet - La Nouvelle Agriculture,0213402011745,D,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,['France'],[],[],?,,198,+4%,14,+13%,0,-100%,18,-2%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,828 kj(198 kcal),"3,5",0,"0,2","0,08",,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,+3%,+4%,-100%,-74%,-74%,0,-100%,B,-100%,,,,,,,,,,,
515,Koala au chocolat au lait,3421371523504,,,,,,['France'],[],[],?,,576,,38,,51,,"6,3",,,,,,,,,2410 kj(576 kcal),24,50,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Emmental,0212224021581,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",['IGP'],,['France'],[],[],?,,407,+8%,"31,5",+8%,1,+50%,29,+5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1703 kj(407 kcal),"18,8",1,"0,4","0,16",,31.5 g,en quantité élevée,18.8 g,en quantité élevée,1 g,en faible quantité,0.4 g,en quantité modérée,+8%,-5%,+142%,-39%,-39%,11,-4%,D,-4%,,,,,,,,,,,
517,"Gazowany napój z tauryną, kofeiną i witaminami - Energy Blast - 250ml",5906485301609,,['Energy Blast'],"['pl:Napoj-energetyzujący', 'pl:Napoj-gazowany', 'pl:Zawiera kofeinę']",,,"['France', 'Pologne', 'Royaume-Uni']","['Woda', 'cukier', 'dwutlenek węgla', 'kwas: kwas cytrynowy', 'tauryna [400 mg/100 ml]', 'regulator kwasowości: cytryniany sodu', 'kofeina [32 mg/100 ml]', 'barwniki: karmel amoniakalny', 'ryboflawina', 'aromaty', 'witaminy: niacyna ', 'amid kwasu nikotynowego', 'B6 ', 'chlorowodorek pirydoksyny', 'kwas pantotenowy ', 'D-pantotenian wapnia', 'B12 ', 'cyjanokobalamina']",[],?,,47,,"0,5",,11,,"0,5",,,,,,,,,197 kj(47 kcal),"0,1",11,"0,12","0,048",,0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,0.12 g,en faible quantité,,,,,,2,,B,,250 ml,"['Puszka', 'Alu']",['Made in EU'],"['E290 - Dioxyde de carbone', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E101i - Riboflavine']",,4,,,,,
518,Schoko & Keks - Kaufland - 30g,4337185375750,,['Kaufland'],,,,['France'],[],[],?,,428,,14,,60,,"9,6",,,,,,,,,1791 kj(428 kcal),6,18,"0,61","0,244",,,,,,,,,,,,,,,,,,,30 g,['Box'],,,,,,,,,
519,Poulet entier blanc,3254560238169,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
