,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
46,Belm. Anchois Sel Verre -,3262960013026,,,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,,,['France'],[],,[],,3.1 g,en quantité modérée,1.1 g,en faible quantité,0.5 g,en faible quantité,21.2 g,en quantité élevée,?,,120,-41%,502 kj(120 kcal),-42%,"3,1",-75%,"1,1",-55%,"1,1",-24%,"0,5",+89%,"21,1",+1%,"21,19",+212%,"8,476",+212%,12,-4%,D,-4%,B,,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,
47,"Bel Monte, Anchois allonges a l'huile d'olive, le bocal de",3262960045010,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,201,,841 kj(201 kcal),,"10,1",,"1,9",,"2,6",,"0,3",,25,,"13,8",,"5,52",,,,,,,,,,,,,,,,,,
48,Creme Anchois Tube - Belmonte,3262960051011,,,,['Belmonte'],,,,,,['France'],"['anchois salés ', 'anchois', 'sel', ' 82%', ""huile d'olive 16%"", ""vinaigre d'alcool"", 'épices ', 'poivre blanc', 'girofle']",['Poisson'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,,?,,210,,879 kj(210 kcal),,"12,1",,"2,6",,"10,7",,"0,1",,"14,6",,14,,"5,6",,,,,,,,,,,,,,,,,,
49,"Anchois Marinés Provençale, Galicéa - Belmonte",3262960055255,,,,['Belmonte'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés""]",,,,,['France'],[],,[],,,,0.9 g,en faible quantité,0.001 g,en faible quantité,1.8 g,en quantité élevée,?,,131,-35%,548 kj(131 kcal),-37%,?,,"0,9",-64%,?,,"0,001",-100%,"19,9",-4%,"1,8",-72%,"0,72",-72%,,,,,B,,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,
50,Filets d'anchois marinés a l'orientale,3262961501256,,,,,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",['Point Vert'],,,,['France'],[],,[],,8.9 g,en quantité modérée,1 g,en faible quantité,0.2 g,en faible quantité,2.4 g,en quantité élevée,?,,163,-20%,682 kj(163 kcal),-21%,"8,9",-29%,1,-59%,"1,6",+11%,"0,2",-25%,"19,2",-8%,"2,4",-65%,"0,96",-65%,12,-4%,D,-4%,B,,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,
51,3262970702491,3262970702491,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
52,Crème Fraîche épaisse 30% - Alsace lait - 500g,3262970703320,Crème Fraîche épaisse 30% de matière grasse,500g,,['Alsace lait'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",['Sans additifs'],"['67723', 'Hoerdt', 'France']",,,['France'],"['Crème* fraîche pasteurisée', 'ferments lactiques', ' * Origine : France']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,30 g,en quantité élevée,20 g,en quantité élevée,3.3 g,en faible quantité,0.09 g,en faible quantité,1204,+8%,292,0%,1204 kj(292 kcal),+0%,30,+1%,20,+1%,"3,3",+1%,"3,3",+15%,"2,2",-7%,"0,09",+7%,"0,036",+7%,13,0%,D,0%,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
53,Crème légère épaisse 15% MG PPX 50CL - Petite france,3262970703610,,,,['Petite france'],,,,,,['France'],[],,[],,,,,,,,,,?,,168,,703 kj(168 kcal),,15,,10,,"5,8",,"3,7",,"2,7",,"0,09",,"0,036",,,,,,,,,,,,,,,,,,
54,Crème fraîche épaisse entière - Petite France - 500g,3262970703818,,500 g,"['Plastique', 'Pot']",['Petite France'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Frais', 'Crèmes entières', 'Crèmes fraîches']",,,"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",['Cora'],['France'],"['Crème pasteurisée', 'ferments lactiques ', 'lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,30 g,en quantité élevée,20 g,en quantité élevée,3.3 g,en faible quantité,0.09 g,en faible quantité,1204,-3%,?,,1204 kj(288 kcal),-5%,30,-4%,20,-5%,"3,3",+4%,"3,3",+8%,"2,2",-4%,"0,09",+6%,"0,036",+6%,13,-2%,D,-2%,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
55,Crème épaisse légère -  - 50cl,3262970703825,,50 cl,,,"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes légères']",,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
56,"Fromage Frais 0,2% MG - Petite France - 500g",3262970805635,"Fromage frais à 0,2% de matière grasse",500 g,"['Pot', 'Plastique']",['Petite France'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages blancs', 'Fromages à la crème']",,['France'],"['FR 67.205.001 CE', 'Hœrdt (Bas-Rhin, France)']",,['France'],"['Fromage blanc ', 'lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,0.5 g,en faible quantité,0.2 g,en faible quantité,5.3 g,en quantité modérée,0.09 g,en faible quantité,206,-45%,?,,206 kj(49 kcal),-46%,"< 0,5",-88%,"0,2",-92%,"5,3",-19%,"5,3",-12%,"6,5",+0%,"0,09",-16%,"0,036",-16%,-3,-1145%,A,-1145%,C,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
57,Fromage blanc aux 3 poivres - Bibeleskaes - Alsace lait - 2x 125g,3262970805802,Fromage blanc aux 3 poivres,2 x 125g,,['Alsace lait'],,,"['67723', 'Hoerdt', 'France']",,,['France'],"['lait* pasteurisé', 'crème* fraîche pasteurisée', 'eau : 8,2%', '3 poivres ', 'poivre rose : 0,3%', 'poivre vert : 0,3%', 'poivre noir : 0,2%', 'sel : 0,6%', 'vinaigre de vin blanc', 'sucre : 0,1%', 'épaississant : xanthane', 'ferments lactiques', ' * Origine : France']",['Lait'],['Non végétalien'],4,,,,,,,,,463,,111,,463 kj(111 kcal),,"8,1",,"5,5",,"4,2",,"4,2",,"5,6",,"1,6",,"0,64",,,,,,,['E415 - Gomme xanthane'],,,,,,,,,,,
58,Préparation tarte flambée - Alsace lait,3262970806724,Préparation tarte flambée,,,['Alsace lait'],,,"['67723', 'Hoerdt', 'France']",,,['France'],"['Lait* pasteurisé', 'crème* pasteurisée', 'huile de colza', 'épaississant: amidon modifié', 'sel', 'poivre', 'muscade', 'ferments lactiques', ' * Origine : France']","['Lait', 'Muscade']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,713,,172,,713 kj(172 kcal),,15,,"9,4",,"4,6",,4,,"4,7",,"0,95",,"0,38",,,,,,,['E14XX - Amidons modifiés'],,,,,,,,,,,
59,Vinaigrette Puget,3263079724001,,,,,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,,,,['France'],[],,[],,32 g,en quantité élevée,3.8 g,en quantité modérée,1.4 g,en faible quantité,2.2 g,en quantité élevée,?,,304,-16%,1272 kj(304 kcal),-15%,32,-13%,"3,8",+1%,"2,4",-49%,"1,4",-57%,"0,3",-49%,"2,2",+15%,"0,88",+15%,15,+1%,D,+1%,D,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,
60,Brillat Savarin 75% -,3263091000367,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",,,"['FR 89.373.001 CE', 'Saligny (Yonne, France)']",,['France'],[],,[],,40 g,en quantité élevée,28.8 g,en quantité élevée,0.4 g,en faible quantité,1.7 g,en quantité élevée,?,,408,+6%,1707 kj(408 kcal),+6%,40,+4%,"28,8",+8%,2,+21%,"0,4",-31%,10,+16%,"1,7",+55%,"0,68",+55%,17,+21%,D,+21%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
61,Brillat Savarin -,3263091001432,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Brillat-Savarin']",,,,,['France'],[],,[],,33 g,en quantité élevée,23.8 g,en quantité élevée,2 g,en faible quantité,1.1 g,en quantité modérée,?,,339,-12%,1418 kj(339 kcal),-12%,33,-14%,"23,8",-11%,"2,5",+52%,2,+247%,8,-7%,"1,1",0%,"0,44",0%,14,-1%,D,-1%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
62,Le senonais - Sans marque - 200g,3263092000045,,200 g,['Papier'],"['Sans marque', 'Fromagerie Lincet']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages pasteurisés']",,['France'],"['FR 89.373.001 CE', 'Saligny (Yonne, France)', 'FR 10.399.001 CE', 'Vaudes (Aube, France)']",['iD Stock'],['France'],['Fromage au lait de vache pasteurisé'],['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,22 g,en quantité élevée,15.8 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,1120,-14%,?,,1120 kj(268 kcal),-15%,22,-15%,"15,8",-11%,1,-9%,"0,5",-34%,17,-9%,2,+39%,"0,8",+39%,16,+12%,D,+12%,B,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['France'],,,
63,Époisses AOP cave pasteurisé - Lincet - 250g,3263093000402,Fromage à pâte molle au lait pasteurisé,250g,"['Frais', 'Plastique']",['Lincet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte molle à croûte lavée', 'Époisses']",['AOP'],,"['FR 21.110.001 CE', ""Brochon (Côte-d'Or, France)""]",,['France'],"['Lait', 'sel', ""ferments lactiques et d'affinage,présure"", 'marc de Bourgogne']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,24 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.85 g,en quantité élevée,1220,,?,,1220 kj(292 kcal),+2%,24,+1%,17,+1%,"2,4",+206%,0,-100%,17,0%,"1,85",+1%,"0,74",+1%,16,+5%,D,+5%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
64,Lincet Soumaintrain le fromage de 250 g - 9oz,3263093001188,,9 oz,,,,['Fabriqué en France'],,"['FR 21.110.001 CE', ""Brochon (Côte-d'Or, France)""]",,['France'],[],,[],,,,,,,,,,?,,291,,1218 kj(291 kcal),,24,,17,,"2,5",,0,,17,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
65,Soumaintrain - Lincet - 250g,3263093001263,,250g,"['Plastique', 'Frais']",['Lincet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Soumaintrain', 'Fromages à pâte molle']","['Fabriqué en France', 'IGP']",,"['FR 21.110.001 CE', ""Brochon (Côte-d'Or, France)""]",,['France'],"['Lait ', 'origine France', 'sel', ""ferments lactiques et d'affinage"", 'présure']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,24 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,1207,-13%,?,,1207 kj(288 kcal),-11%,24,-14%,17,-13%,"2,5",+117%,0,-100%,17,-1%,"1,8",+30%,"0,72",+30%,15,+5%,D,+5%,B,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['France', 'Lait origine France']",,,
66,"Chinois, brioche fourrage patissier et raisins, le paquet de",3263110020062,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,279,,1167 kj(279 kcal),,"6,1",,4,,51,,21,,"4,9",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,
67,"Chinois Crème Pâtissière & Pépites De Chocolat, - L'Epi",3263110020093,,,,"[""L'Epi""]",,,,,,['France'],"['sucre', 'pâte de cacao', 'beurre de ému sifiant']",,[],,,,,,,,,,?,,285,,1192 kj(285 kcal),,"6,4",,"3,5",,51,,21,,"5,1",,"0,74",,"0,296",,,,,,,,,,,,,,,,,,
68,"Fond De Tarte L'epi, - 200g",3263110030825,,200 g,,"[""L'épi""]",,['Fabriqué en Allemagne'],['Allemagne'],,,['France'],"['farine de blé', 'sucre', 'oeufs', 'sirop de glucose-fructose', 'amidon de blé', 'humectants: sorbitols', 'glycérol']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,,,,,,,,,?,,370,,1548 kj(370 kcal),,6,,"1,1",,72,,39,,"6,8",,"0,8",,"0,32",,,,,,,"['E420 - Sorbitol', 'E422 - Glycérol']",,,,,,,,,,,
69,Triple fond de tarte viennois - L'Epi,3263110030832,,,,"[""L'Epi""]",,['Fabriqué en Allemagne'],,,,['France'],[],,[],,,,,,,,,,?,,357,,1494 kj(357 kcal),,10,,"1,6",,62,,32,,7,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,
70,Triple fond de tarte cacao,3263110030849,,,,,,['Fabriqué en Allemagne'],,,,['France'],[],,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,"9,1",,"1,6",,63,,33,,0,,"0,88",,"0,352",,,,,,,,,,,,,,,,,,
71,Gateau au cacao et pepites chocolat L'EPI,3263110033031,,,,"[""L'Epi""]",,,,,,['France'],"['Sucre', 'oeufs', 'farine de blé', 'huile de palme*', 'humectants: sorbitols', 'glycérol', ' amidon de blé', 'huile de palme totalement hydrogénée*', 'cacao maigre en poudre', 'sirop de glucosé-fructose', 'pâte de cacao', 'arôme naturel', 'sel', ""émulsifiants: mono - et diglycérides d'acides gras"", 'tristéarate de sorbitane', 'lécithines', ' poudres à lever: diphosphates', 'carbonates de sodium', "" correcteur d'acidité: acétates de sodium"", ' ', '* huile de palme certifiée durable', ' Ce produit peut contenir des traces de fruits à coques et de produits laitiers']","['Œufs', 'Gluten', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,?,,406,,1699 kj(406 kcal),,20,,11,,52,,33,,5,,"0,5",,"0,2",,,,,,,"['E420 - Sorbitol', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E262 - Acétates de sodium']",,,,,,,,,,['Huile de palme'],
72,Gâteau fourré kiwi L'EPI - Fol epi,3263110033109,,,,['Fol epi'],,,,,,['France'],[],,[],,,,,,,,,,?,,414,,1732 kj(414 kcal),,19,,11,,57,,34,,"4,6",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,
73,Gâteau carré fourré - L’Épi - 280g e,3263110036919,,280 g e,"['Plastique', 'Sachet']",['L’Épi'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés']",['Point Vert'],['Union Européenne'],,,['France'],"['Sucre', 'farine de froment', 'graine de soja', 'huiles végétales ', 'palme', 'colza noix de coco', 'amidon modifié de pomme de terre', 'dextrose', '1,1 % amande', 'stabilisant:  sorbitol', 'épaississants: E412', 'E440 ', "" noyau d'abricot"", 'émulsifiant: lécithine de soja', 'sel sirop de glucose', 'poudres à lever: E450', 'E500', ' sucre inverti', 'albumine de lait', 'arôme ', 'contient du lait', 'conservateurs: E202', 'E281: lactose ', 'lait', 'amidon de blé', ""correcteur d'acidité : acide citrique""]","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,14.5 g,en quantité modérée,5.8 g,en quantité élevée,36.2 g,en quantité élevée,0.54 g,en quantité modérée,?,,383,+11%,1602 kj(383 kcal),+10%,"14,5",+290%,"5,8",+551%,"57,6",-21%,"36,2",-17%,"5,2",+35%,"0,54",-3%,"0,216",-3%,19,+24%,E,+24%,,"['E14XX - Amidons modifiés', 'E420 - Sorbitol', 'E412 - Gomme de guar', 'E440 - Pectines', 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E281 - Propionate de sodium', 'E330 - Acide citrique']",,,,,,,,,,['Huile de palme'],
74,Oak Barrel Aged Red Wine Vinegar In Stone Bottle By Pommery,3263137783131,,,,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,['Magasins U'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,
75,Vinaigre balsamique de Modène,3263137783360,,,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène', 'Vinaigre balsamique de Mod�ne']",,,,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,,B,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,
76,600G PAIN DE MIE a L ANGLAISE CLEMENT,3263190141183,,,,['Clement'],,,,,['Magasins U'],['France'],[],,[],,,,,,,,,,?,,262,,1096 kj(262 kcal),,?,,"0,3",,?,,"4,6",,"8,4",,"1,05",,"0,42",,,,,,,,,,,,,,,,,,
77,Pain de mie complet - Harvey,3263190644141,,,,['Harvey'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie', 'Pains complets', 'Pains de mie complet']",,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,
78,Pain de mie nature bio 14 grandes tranches - Leader Price,3263190851143,,,,['Leader Price'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Leader Price'],['France'],[],,[],,,,,,,,,,?,,293,,1226 kj(293 kcal),,?,,"0,5",,?,,"4,5",,"9,7",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,
79,Beurre - Lebeau,3263240000095,,,,['Lebeau'],['Matières grasses'],,,,,['France'],"['Deurre ', ""'alt origine UE"", 'sel 2%']",,[],2,80 g,en quantité élevée,55 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,?,,732,-9%,3063 kj(732 kcal),-9%,80,-10%,55,+141%,1,+346%,1,+517%,"0,7",+295%,2,+926%,"0,8",+926%,27,+139%,E,+139%,,,,,,,,,,,,,
80,Maroilles quart - Lebeau,3263240000194,,,['Frais'],['Lebeau'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Maroilles']",['AOP'],,,,['France'],[],,[],,26 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,2.3 g,en quantité élevée,?,,322,-2%,1347 kj(322 kcal),-2%,26,-3%,18,+2%,1,+72%,"0,5",+6%,21,-1%,"2,3",+7%,"0,92",+7%,19,+9%,E,+9%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
81,Beurre deni-sel,3263240000248,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,732,,3063 kj(732 kcal),,80,,55,,1,,1,,"0,7",,2,,"0,8",,,,,,,,,,,,,,,,,,
82,La tarte au Maroilles de Ginette - 400g,3263240000354,,400 g,,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Tartes au maroilles']",,,,,['France'],[],,[],,27 g,en quantité élevée,17 g,en quantité élevée,1.1 g,en faible quantité,1.38 g,en quantité modérée,?,,372,+25%,1556 kj(372 kcal),+25%,27,+55%,17,+50%,18,-13%,"1,1",-36%,14,+15%,"1,375",+15%,"0,55",+15%,20,+23%,E,+23%,D,,74.9%,11.5%,2.8%,3.1%,1.6%,6.0%,49,,,,
83,Fromage blanc Nature 0÷ - 500g,3263240000408,,500 g,,,,['Point Vert'],,"['FR 59.363.030 CE', 'Louvignies-Quesnoy (Nord, France)']",,['France'],[],,[],,,,,,,,,,?,,55,,230 kj(55 kcal),,"0,1",,"0,07",,"4,5",,"4,5",,9,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,
84,Nivernoy Saucisson Ail Fume Ancien 200G - 200g,3263260035732,,200 g,,,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",['Fabriqué en France'],,,,['France'],[],,[],,20.7 g,en quantité élevée,7.9 g,en quantité élevée,0.6 g,en faible quantité,1.96 g,en quantité élevée,?,,258,-5%,1079 kj(258 kcal),-6%,"20,7",-7%,"7,9",-8%,"0,9",-18%,"0,6",-16%,"15,6",-2%,"1,96",-7%,"0,784",-7%,18,-7%,D,-7%,E,,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,,,,
85,Chardonnay 2014 - Casa de Campo - 75cl,3263280102599,,75 cl,"['Bouteille', 'Verre']",['Casa de Campo'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']","['Point Vert', 'Déconseillé aux femmes enceintes']",['Chili'],,,['France'],['Contient des sulfites'],['Anhydride sulfureux et sulfites'],[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,D,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Chili'],,,
86,3263280107150,3263280107150,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
87,3263280113762,3263280113762,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
88,126g,3263292269709,,126 g,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
89,Neymann's Pain spécial croustillant au sésame 100% bio - René Neymann - 200g.,3263330015022,Pain azyme au sésame biologique,200 g.,['Boite'],"['René Neymann', ""Neymann's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes', 'Pains azymes à la farine de froment']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,"['Coop Alsace', 'Auchan', 'Leclerc']",['France'],"['Farine de froment ', 'issue de l’agriculture biologique', 'sésame ', '6%', 'eau']","['Gluten', 'Graines de sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,5.8 g,en quantité modérée,1 g,en faible quantité,2.1 g,en faible quantité,0.0127 g,en faible quantité,1714,,?,,1714 kj(410 kcal),+8%,"5,8",+308%,1,+251%,"75,3",-5%,"2,1",-25%,"12,9",+21%,"0,013",-53%,"0,005",-53%,-3,,A,,,,,,,,,,,"['France', 'Alsace', 'Bas-Rhin', 'Wasselonne']",,,
90,Pain spécial croustillant oeufs et oignons - René Neymann - 200g.,3263330015039,Pain azyme aux oeufs et aux oignons,200 g.,['Boite'],"['René Neymann', ""Neymann's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes', 'Pains azymes à la farine de froment']",['Fabriqué en France'],,,"['Coop Alsace', 'Auchan', 'Leclerc']",['France'],"['Farine de froment,poudre d’œuf ', '0', '8%', ',poudre d’oignon ', '4', '8%', 'eau', 'sel', 'malt']",['Gluten'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,1.8 g,en faible quantité,0.41 g,en faible quantité,5 g,en quantité modérée,0.231 g,en faible quantité,?,,379,,1586 kj(379 kcal),-0%,"1,8",+27%,"0,41",+44%,"78,8",-1%,5,+78%,"11,8",+10%,"0,231",+756%,"0,092",+756%,-3,,A,,,,,,,,,,,"['France', 'Alsace', 'Bas-Rhin', 'Wasselonne']",,,
91,Neymann's Pain spécial croustillant au cumin - René Neymann - 200g.,3263330015046,Pain azyme au cumin,200 g.,['Boite'],"['René Neymann', ""Neymann's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes']",,,,"['Coop Alsace', 'Auchan', 'Leclerc']",['France'],"['Farine de froment', 'cumin ', '2', '5%', 'eau', 'sel']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.4 g,en faible quantité,0.35 g,en faible quantité,2.2 g,en faible quantité,0.655 g,en quantité modérée,1666,+5%,?,,1666 kj(398 kcal),+7%,"2,4",+36%,"0,35",-5%,"80,76",+8%,"2,2",-28%,"12,1",+13%,"0,655",+954%,"0,262",+954%,-3,,A,,,,,,,,,,,"['France', 'Alsace', 'Bas-Rhin', 'Wasselonne']",,,
