,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
73,Chewing gum -,6111199001922,['France'],[],[],?,149,623 kj(149 kcal),"0,06","0,01",62,0,"0,14","0,1","0,04",,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Chewing-gum', 'Chewing-gum sans sucres']",,,0.06 g,en faible quantité,0.01 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-7%,-7%,-70%,-91%,-1%,-100%,+9%,+367%,+367%,,,,,,,,,,,,,"['Peu ou pas de sucre', 'Sans sucre']",,,,,,,,,,,
74,Saucisson Nostrano - Rovagnati,8007141501764,['France'],[],[],?,337,1410 kj(337 kcal),25,"8,8",0,0,28,"4,2","1,68",,['Rovagnati'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
75,Steaks Hachés Pur Boeuf - Toupargel - 1kg,3265980786086,['France'],[],[],?,174,728 kj(174 kcal),10,"3,8","0,5","0,5","20,6","0,16","0,064",1 kg,['Toupargel'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Steaks hachés', 'Steaks de bœuf hachés']",,E,10 g,en quantité modérée,3.8 g,en quantité modérée,0.5 g,en faible quantité,0.16 g,en faible quantité,,-7%,-7%,-19%,-27%,+144%,+262%,+8%,-27%,-27%,0,-100%,B,-100%,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,
76,Galette de petit épeautre  chocolat - Moulin des moines,3347430009881,['France'],[],[],?,420,1757 kj(420 kcal),15,8,58,15,10,0,0,,['Moulin des moines'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
77,Liebig,112302659,['France'],[],[],?,?,,?,,?,,?,,,,['Liebig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,
78,Noix de France sèches,3760242930080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Jambon -,8012698019020,['France'],"['Cuisse de porc', 'sel', 'dextrose', 'arômes', 'épices', 'antioxydant: E301', 'conservateur: E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,150,628 kj(150 kcal),8,"2,7","0,5","0,5",19,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
80,"Lardon fumé bio - Pique-Prune - 0,148kg",0245698028404,['France'],"['POITRINE DE PORC*', 'SEL NITRITE', 'SIROP DE GLUCOSE*', 'SUCRE DE CANNE', 'HUILE ESSENTIELLE*', ' EPICES*', ""ANTIOXYDANT:ACIDE ASCORBIQUE E300 <O,024% *INGREDIENTS ISSUS DE L'AGRICULTURE BIOLOGIQUE""]","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,"0,148 kg","['Pique-Prune', 'Scarabée Biocoop']","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",['35132 Vezin le Coquet'],B,,,,,,,,,,,,,,,,,,,,,,,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,['Barquette carton'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'FR-BIO-10']",,['France'],['Biocoop'],4,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,,,,,
81,Doce de Abobora -,5602992160103,['France'],[],[],?,273,1142 kj(273 kcal),"0,1","0,1","65,7","65,7",2,"0,1","0,04",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits de la plante de courge', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Courges et dérivés', 'Confitures de citrouille']",,D,0.1 g,en faible quantité,0.1 g,en faible quantité,65.7 g,en quantité élevée,0.1 g,en faible quantité,,+225%,+229%,-81%,-47%,+249%,+394%,+89%,-49%,-49%,7,,C,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
82,Aiguilette de poulet blanc,0253097019428,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,D,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-17%,-17%,-30%,-16%,-100%,-100%,+1%,-75%,-75%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,,,,
83,Roti de port bio - Belle France,3258561461830,['France'],"['viande de porc* ', 'Origine UE', 'sel', 'dextrose*', 'herbes aromatiques*', 'épices*', 'condiments*', 'stabilisant : citrates de sodium', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', "" *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,115,481 kj(115 kcal),3,"1,3",1,1,21,2,"0,8",,['Belle France'],"['Viandes', 'Porc', 'Rôtis de porc']",,E,3 g,en quantité modérée,1.3 g,en faible quantité,1 g,en faible quantité,2 g,en quantité élevée,,-20%,-19%,-40%,-38%,+22%,+60%,-6%,+16%,+16%,5,-30%,C,-30%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,['Bio'],,,,4,"['E331 - Citrates de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,
84,Bloc de foie gras,3598962056625,['France'],[],[],?,471,1971 kj(471 kcal),"48,8",18,2,"1,5","5,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Vin Mercirey - Activia,3222471389874,['France'],[],[],?,119,498 kj(119 kcal),"3,1",2,"12,6","12,6","3,6",0,0,,['Activia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Légumes surgelés - D'Aucy,3248451080975,['France'],[],[],?,96,402 kj(96 kcal),"6,2","2,2",6,"1,8","2,8","0,53","0,212",,"[""D'Aucy""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",,,6.2 g,en quantité modérée,2.2 g,en quantité modérée,1.8 g,en faible quantité,0.53 g,en quantité modérée,,+109%,+113%,+479%,+706%,+29%,-15%,+23%,+221%,+221%,-1,,A,,,,,,,,,,,,,,,,,,,,,
87,Roti de porc mariné savoyard,2342529008005,['France'],[],[],?,180,753 kj(180 kcal),12,"5,6",0,0,18,"0,93","0,372",,,"['Viandes', 'Porc', 'Rôtis de porc']",,E,12 g,en quantité modérée,5.6 g,en quantité élevée,0 g,en faible quantité,0.93 g,en quantité modérée,,+25%,+26%,+139%,+168%,-100%,-100%,-20%,-46%,-46%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,
88,Foie gras artisanal des Landes - Lartigue - 500g,3760067667192,['France'],[],[],?,486,2033 kj(486 kcal),"48,2",20,"4,4","0,9","9,2","1,46","0,584",500 g,['Lartigue'],['Igp origine landes'],['Pontonx sur l Adour'],,48.2 g,en quantité élevée,20 g,en quantité élevée,0.9 g,en faible quantité,1.46 g,en quantité modérée,,,,,,,,,,,22,,E,,,,,,,,,['sous vide'],,['40.230.005'],['Landes France'],['super u'],,,http://www.lartigue.fr,,,,,
89,Bûche glacée vanille-miel - Picard - 600g,3270160841110,['France'],[],[],?,213,891 kj(213 kcal),"10,3","5,5",26,22,"3,3","0,09","0,036",600g,['Picard'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,D,10.3 g,en quantité modérée,5.5 g,en quantité élevée,22 g,en quantité élevée,0.09 g,en faible quantité,,+6%,+7%,+27%,+2%,-9%,-11%,+42%,-27%,-27%,11,-3%,D,-3%,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,,,,,['Picard'],,,,,,,,
90,Orange - Boni - 2L (2x1L),5400141236590,"['Belgique', 'France']","[""Pur jus d'orange pressée"", 'antioxydant ', 'E300']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,42,176 kj(42 kcal),"< 0,5","< 0,1","9,3","9,3","0,7","< 0,01","0,004",2 L (2x1L),['Boni'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",,D,0.5 g,en faible quantité,0.1 g,en faible quantité,9.3 g,en quantité élevée,0.01 g,en faible quantité,,-2%,-3%,+199%,+266%,-4%,+2%,+12%,+17%,+17%,3,0%,C,0%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,['Colruyt'],1,['E300 - Acide ascorbique'],,,,,,
91,Jambon Grillé - Colruyt,5400141391923,"['Belgique', 'France']",[],[],?,112,469 kj(112 kcal),"2,7","0,9","0,6","0,6",21,"1,9","0,76",,['Colruyt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BE B650 EC'],,['Colruyt'],,,,,,,,
92,Floating Marshmallows,2030363999992,['France'],[],[],?,323,1351 kj(323 kcal),0,0,79,64,"3,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Vin,3439495304015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Jamón de cerdo pietran - 450g,7701101356111,"['Colombie', 'France']",[],[],?,?,,?,,?,,?,,,450 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Guiso casero con trozos de vegetales Fruco - 106g,7702047038239,"['Colombie', 'France']",[],[],?,?,,?,,?,,?,,,106 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Lisas Hummus Chargrilled Capsicum,9418705001153,['France'],[],[],?,211,883 kj(211 kcal),"12,5","1,6",20,"4,9","6,1","0,533","0,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
97,Chocolat  extra-fin fabriqué en France - Ivoria - 100g,3250390188575,['France'],"['Chocolat au lait extra fin : sucre', 'beurre de cacao', 'poudre de lait  entier', 'pâte de cacao', 'émulsifiant : lécithines de soja ', 'arôme ', ' cacao:31% minium dans le chocolat au lait']",['Non végétalien'],2270,?,2270 kj(543 kcal),33,21,56,56,"1,6","0,05","0,02",100 g,['Ivoria'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Intermarché'],4,['E322i - Lécithine'],,"['Lait', 'Soja']",,,,
98,12 Billionaire's Shortbread Bites,00736558,['France'],[],[],?,487,2038 kj(487 kcal),"23,5","14,1","64,7","40,4","3,5","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,escargots de Bourgogne très gros - Romanzini - 500g égoutté,3043033170033,['France'],"['chairs d escargots court bouillon aromatisé', 'eau sel arômes naturels épices ', 'curcuma coriandre ', 'dextrose']",[],?,80,335 kj(80 kcal),"1,09","0,2","0,9","< 0,15","16,2","0,7","0,28",500 g égoutté,['Romanzini'],['Très gros'],['France'],,1.09 g,en faible quantité,0.2 g,en faible quantité,0.15 g,en faible quantité,0.7 g,en quantité modérée,,,,,,,,,,,-2,,A,,,,,,,,,['boîte de conserve'],,['25493'],['Union européenne'],['centre Leclerc'],4,,,,,,,
100,Plat à tarte avec mélange fruits secs - Asidra - 860g,3580281299814,['France'],[],[],?,?,,?,,?,,?,,,860 g,['Asidra'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Tartes', 'Aliments à base de plantes séchées', 'Tartes sucrées', 'Fruits secs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Apple et cinammon rice cake - By Sainsbury's,00340717,"['France', 'Royaume-Uni']",[],[],?,397,1661 kj(397 kcal),"2,9","0,7","82,8",9,"8,4","0,03","0,012",,"[""By Sainsbury's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']",,B,2.9 g,en faible quantité,0.7 g,en faible quantité,9 g,en quantité modérée,0.03 g,en faible quantité,,-8%,-8%,-75%,-89%,+16%,-29%,+14%,-84%,-84%,0,-100%,B,-100%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,['en:gluten-free'],,,,,,,,,,,
102,Brochettes de volaille - Kaufland,4337185379550,"['Belgique', 'France']",[],[],?,148,619 kj(148 kcal),7,"1,5",1,"0,5",20,"1,5","0,6",,['Kaufland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Soupe De Crabe, Le Bocal De",3295982100016,['France'],[],[],?,49,205 kj(49 kcal),"1,6","0,37","3,9","0,7","4,6","1,26","0,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Vinaigre cidre aromatisé framboise -,3452010002487,['France'],"[""98,05 % vinaigre de cidre biologique et 1,95 % d'arôme de framboise bio""]",[],?,?,,?,,?,,?,,,,,"['Vinaigres', 'Vinaigres de cidre']",,B,,,,,,,,,,,,,,,,,,,,,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,,,,,,,,,,,,
105,Oignon frit,8422193000520,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",,E,,,,,,,,,,,,,,,,,,,,,,,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,,,,,,,,,,,,,
106,Raclette - Franz,29065592,"['France', 'Allemagne']",[],[],?,360,1506 kj(360 kcal),28,18,1,1,"25,5","1,5","0,6",,['Franz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Paar'],,,,,,,,,,,,
107,"Quest Nutrition Questbar Chocolate Brownie, Bar, 12 X",0888849001460,['France'],[],[],?,318,1331 kj(318 kcal),"11,67","1,67","11,67","1,5","33,33",1,"0,4",,['Quest'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Yaourt aromatisé fraise,3760093420242,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.128.008 CE', 'Guipel (Ille-et-Vilaine, France)']",,,,,,,,,,
109,Riesengarnelenschwänze - Ristic - 225g,4061458036184,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,225 g,['Ristic'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes']",,D,,,,,,,,,,,,,,,,,,,,,,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,['Karton'],,,,,,,,,,,,
110,Bateau nordique,3486120002204,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Sables au beurre salé,3760031830522,['France'],[],[],?,490,2050 kj(490 kcal),21,14,67,26,8,"0,92","0,368",,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés au beurre']",,C,21 g,en quantité élevée,14 g,en quantité élevée,26 g,en quantité élevée,0.92 g,en quantité modérée,,+0%,0%,-8%,-3%,+5%,+2%,+24%,+38%,+38%,25,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,['en:gluten-free'],,,,,,,,,,,
112,Paupiettes de veau,2457060077349,['France'],[],[],?,225,941 kj(225 kcal),"17,4","6,9","0,7","0,1","16,4","0,87","0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Chalet surprise apéritif - Picard,3270160890774,['France'],[],[],?,261,1092 kj(261 kcal),14,"6,4",22,"4,8","9,4","1,16","0,464",,['Picard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,,,,,
114,Tortilla chips - Poco Loco,5412514936211,['France'],[],[],?,480,2008 kj(480 kcal),22,"2,2",63,"1,5","6,7","1,3","0,52",,['Poco Loco'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,B,22 g,en quantité élevée,2.2 g,en quantité modérée,1.5 g,en faible quantité,1.3 g,en quantité modérée,,-1%,-1%,-3%,-25%,+4%,-21%,+5%,+11%,+11%,12,+24%,D,+24%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,,,,,,
115,Gambas - Costa,4008467051128,['France'],[],[],?,68,285 kj(68 kcal),"0,8","0,4","0,2",0,15,"0,61","0,244",,['Costa'],"['Produits de la mer', 'Crustacés', 'Crevettes', 'Gambas']",,D,0.8 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.61 g,en quantité modérée,,-23%,-23%,+5%,+49%,-44%,-100%,-25%,-25%,-25%,-3,,A,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,,,,
116,Sandwich poulet tomate basilic,3323790304729,['France'],[],[],?,247,1033 kj(247 kcal),12,"5,6",24,"3,5","9,7","1,2","0,48",,,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",,C,12 g,en quantité modérée,5.6 g,en quantité élevée,3.5 g,en faible quantité,1.2 g,en quantité modérée,,+11%,+10%,+43%,+286%,-7%,+7%,-4%,-1%,-1%,13,+381%,D,+381%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,,
117,Crêpe fait main de blé Noir - Crêperie artisanale du Beau Sapin - 6,3760097960089,['France'],"['Farine de blé noir', 'farine de froment 10', 'GLUTEN', ' ', 'sel', 'eau', 'propionate de calcium']",[],?,?,,?,,?,,?,,,6,['Crêperie artisanale du Beau Sapin'],,['MOREAC'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet Plastique'],,,,,4,['E282 - Propionate de calcium'],,['Gluten'],,,,
118,Chips de fruits du jacquier,8934743032900,['France'],[],[],?,120,502 kj(120 kcal),3,0,22,16,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Pain seigle,3559040005300,['France'],[],[],?,240,1004 kj(240 kcal),"1,3","0,3",53,"2,5","7,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Baguette aux céréales - Leclerc - 250€,0207822005903,['France'],[],[],?,?,,?,,?,,?,,,250€,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,X-mas Star Mix - Snacks of The World,8711299020618,['France'],[],[],?,407,1703 kj(407 kcal),6,2,"80,8","5,4","6,9","1,8","0,72",,['Snacks of The World'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Cashew power,4006084005067,['France'],[],"['Végétalien', 'Végétarien']",?,560,2343 kj(560 kcal),41,"5,9",20,18,"22,2","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'GR-BIO-01']",,,,,,,,,,,
123,Tesco Organic Tomato Ketchup 460G,5051140682507,"['France', 'Royaume-Uni']",[],[],?,111,464 kj(111 kcal),"0,6","0,5",23,"18,8","1,4","0,2","0,08",,['Tesco'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,B,0.6 g,en faible quantité,0.5 g,en faible quantité,18.8 g,en quantité élevée,0.2 g,en faible quantité,,+5%,+6%,+146%,+687%,+1%,-4%,+8%,-90%,-90%,5,-59%,C,-59%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,,,,,
124,Torino - Camille Bloch,7610008047681,['France'],[],[],?,571,2389 kj(571 kcal),37,20,50,47,8,"0,01","0,004",,['Camille Bloch'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Yana sucré di nou koté - 500g,3760091301567,['France'],"['Lait partiellement écrémé reconstitué', 'sucre 8', '9%', 'protéines de lait 7', '9%', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,85,356 kj(85 kcal),"0,8","0,5","15,7","15,7","3,8","0,15","0,06",500g,['Yana'],"['Yaourt etuvé', 'Yaourt ferme']",['Guyane'],,0.8 g,en faible quantité,0.5 g,en faible quantité,15.7 g,en quantité élevée,0.15 g,en faible quantité,,,,,,,,,,,2,,B,,,,,,,,,['pot plastique'],,,['Origine du lait : france'],,4,,,['Lait'],,,,
126,Nuggets poulets - Coop - 500g,7613356494893,"['France', 'Allemagne', 'Suisse']",[],[],?,218,912 kj(218 kcal),10,"1,5",15,1,16,"1,5","0,6",500g,['Coop'],"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Volailles cuites', 'Préparations au poulet', 'Poulets cuisinés', 'Nuggets de volaille', 'Poulets panés', 'Nuggets de poulet']",,D,10 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,1.5 g,en quantité modérée,,-3%,-3%,-11%,-25%,-11%,-24%,+25%,+28%,+28%,4,+9%,C,+9%,71.2%,17.5%,4.4%,1.9%,1.1%,4.0%,36,"['Carton', 'stück']",,,,,,,,,,,,
127,Boisson à base de jus de canneberge concentré -,3760048570626,['France'],"['Fau - Concentré de Canneberge 13% - Sucre : Fructose + Saccharose Conservateurs : E202', 'E212']",[],?,136,569 kj(136 kcal),"0,2",0,"33,9","33,9","0,1","0,045","0,018",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons à la canneberge']",,C,0.2 g,en faible quantité,0 g,en faible quantité,33.9 g,en quantité élevée,0.045 g,en faible quantité,,+289%,+290%,+69%,-100%,+313%,+344%,-30%,+217%,+217%,20,+83%,E,+83%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,3,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E212 - Benzoate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,
128,Briochettes -,3486638004776,['France'],[],[],?,372,1556 kj(372 kcal),16,8,49,14,8,1,"0,4",,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,C,16 g,en quantité modérée,8 g,en quantité élevée,14 g,en quantité élevée,1 g,en quantité modérée,,+4%,+4%,+20%,+37%,-3%,-21%,+4%,+17%,+17%,18,+20%,D,+20%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,,,,,,,,,,,,,
129,SO KOMBUCHA -,0779996135040,['France'],[],[],?,24,100 kj(24 kcal),"0,6","0,3","4,1","4,1","0,5","0,04","0,016",,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Boissons au thé', 'Kombuchas']",,B,,,,,,,,,,+33%,+33%,+1150%,+975%,+7%,+20%,+587%,+100%,+100%,7,+22%,D,+22%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,
130,Ail Blanc -,3306540008573,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,B,,,,,,,,,,,,,,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,
131,Humza Chicken Samosas X20 650G,5020580003241,['France'],[],[],?,189,791 kj(189 kcal),"4,4","1,42","26,6","2,7","9,6","1,24","0,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Croissant pain au chocolat ADP,2072929000001,['France'],[],[],?,427,1787 kj(427 kcal),24,15,45,13,9,"1,1","0,44",,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Pains au chocolat']",,D,24 g,en quantité élevée,15 g,en quantité élevée,13 g,en quantité élevée,1.1 g,en quantité modérée,,+11%,+10%,+11%,+13%,+7%,+64%,+21%,+15%,+15%,21,+13%,E,+13%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,
133,10 veritables merguez - 800g,3700141403506,['France'],[],[],?,207,866 kj(207 kcal),15,"5,12","2,4","1,74","15,6","2,05","0,82",800 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,,,,,,,,,,
134,6 oeufs frais,3760036780013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
135,Rillettes - Val du vicoin - 400gr,3760156590035,['France'],[],[],?,?,,?,,?,,?,,,400 gr,['Val du vicoin'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
