,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
491,Terrine de campagne pur porc - Les Delices De Belle France,3258563230069,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['France'],"['gorge de porc', 'foie de porc', 'sel', 'poivre', 'assaisonnement ', 'épices naturelles ', 'moutarde', 'dextrose', 'citron en poudre', 'arômes naturels', 'noix de muscade']","['Non végétalien', 'Non végétarien']",30 g,en quantité élevée,11 g,en quantité élevée,0.01 g,en faible quantité,1.35 g,en quantité modérée,?,,336,+4%,1406 kj(336 kcal),+4%,30,+6%,11,+2%,"0,5",-78%,"0,01",-99%,16,+14%,"1,35",-16%,"0,54",-16%,19,-2%,E,-2%,,,,,,,,"['Les Delices De Belle France', 'Belle France']",,['Moutarde'],4,['Sans colorants'],,,,,,"['EMB 12056B', 'Baraqueville (Aveyron, France)']",,,,
492,Terrine de Chevreuil à l'Armagnac - Belle France - 180g,3258563230106,,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",['France'],"['gorge de porc', 'foie de porc', 'viande de chevreuil ', '20%', 'Armagnac ', '2%', 'sel', ""arôme naturel d'ail"", 'poivre', 'assaisonnement [épices ', 'contient poudre de moutarde', 'dextrose', 'sel', 'poudre de jus de citron', 'arôme naturel]']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",25 g,en quantité élevée,9 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,1223,,295,-5%,1223 kj(295 kcal),-6%,25,-5%,9,-7%,"0,5",-66%,~ 0,-100%,17,+16%,"1,3",-16%,"0,52",-16%,16,-13%,D,-13%,,,,,,,,"['Belle France', 'Les Délices de Belle France']",,['Moutarde'],4,"['Sans colorants', 'Sans conservateurs']",,Terrine de chevreuil à l'Armagnac,180 g,,,"['FR 12.056.001 CE', 'Baraqueville (Aveyron, France)']",,,,
493,Coq au vin - Belle France - 760g (870ml),3258563240273,D,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés en conserve', 'Coq au vin']",['France'],"['pilons de poulet avec os assaisonnés ', '46%', ' ', 'pilons de poulet', 'vin rouge de Bergerac', 'sel', 'dextrose', 'stabilisant : E451', 'épices et aromates', 'sauce : eau', 'vin rouge de Bergerac ', '5%du poids net total', ' ', 'conservateur : sulfites', 'amidon transformé de maïs', 'mélange coq au vin ', 'arômes et arômes de fumée', 'sel', 'dextrose', 'saccharose', 'carotte', 'épices et aromates', 'graisse de poulet', 'ail', 'échalotes ', 'conservateurs : anhydride sulfureux et acidifiant : acide citrique', 'colorant : caramel ordinaire', ' Lardons fumés ', 'poitrine de porc', 'eau', 'sel', 'dextrose', 'sucre', 'conservateurs : E250', 'E252', 'antioxygène : E316', 'carottes', 'champignons de Paris et oignons', "" Peut contenir des petits morceaux d'os""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",3.7 g,en quantité modérée,1.1 g,en faible quantité,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,85,-37%,356 kj(85 kcal),-37%,"3,7",-29%,"1,1",-25%,"3,5",-12%,"0,9",+6%,"9,4",-11%,"1,1",+15%,"0,44",+15%,1,-30%,B,-30%,80.7%,12.7%,1.9%,2.8%,1.1%,0.8%,36,"['Belle France', 'Les Délices de Belle France']","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E150a - Caramel E150a', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium']",['Anhydride sulfureux et sulfites'],4,,,,760 g (870 ml),,,"['FR 24.328.002 CE', 'Piégut-Pluviers (Dordogne, France)']",,,,
494,Saint Marcellin - Les Délices de Belle France - 80g,3258563430032,C,['Film en plastique'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Saint-Marcellin']",['France'],"['lait de vache thermisé', 'sel', 'présure', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",23 g,en quantité élevée,16 g,en quantité élevée,1.4 g,en faible quantité,1.3 g,en quantité modérée,1094,-1%,280,+3%,1094 kj(280 kcal),-3%,23,+2%,16,-5%,"2,2",+67%,"1,4",+79%,16,+1%,"1,3",-2%,"0,52",-2%,13,-4%,D,-4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Les Délices de Belle France', 'Belle France']",,['Lait'],3,['IGP'],,Fromage au lait de vache thermisé - température inférieure à la pasteurisation,80 g,,,"['FR 38.500.001 CE', 'Têche (Isère, France)']",,,,
495,Mimolette demi-vieille - Les Délices de Belle France - 200g,3258563430209,B,['film plastique'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Mimolettes demi-vieilles', 'Fromages-du-nord-pas-de-calais']",['France'],"['Lait de vache pasteurisé', 'sel', 'ferments ', 'dont lait', 'présure', 'colorant : rocou', 'conservateur : E251']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",27 g,en quantité élevée,19 g,en quantité élevée,0.6 g,en faible quantité,2.6 g,en quantité élevée,1533,,369,+1%,1533 kj(369 kcal),+0%,27,+2%,19,+2%,"2,4",+118%,"0,6",-44%,29,-4%,"2,6",+5%,"1,04",+5%,18,-4%,D,-4%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Les Délices de Belle France', 'Belle France']","['E160b - Rocou', 'E251 - Nitrate de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],4,['Lait Français'],['Coccinelle'],milolette,200 g,,['France'],"['FR 50.127.001 CE', 'Chef-du-Pont (Manche, France)', 'EMB 14342A', 'Isigny-sur-Mer (Calvados, France)']",https://www.cabf.eu/prestation/produits-belle-france,['France'],,
496,Prosciutto cotto allé erbe - Les Délices de Belle France - 100g,3258563461203,,"['Barquette', 'Film en plastique']","['Viandes', 'Charcuteries', 'Jambons']",['France'],"['cuisse de porc', 'sel', 'dextrose', 'arômes', 'plantes aromatiques', 'épices', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",6 g,en quantité modérée,2.4 g,en quantité modérée,1 g,en faible quantité,2 g,en quantité élevée,?,,138,-19%,577 kj(138 kcal),-18%,6,-22%,"2,4",-18%,1,+51%,1,+88%,20,-15%,2,-31%,"0,8",-31%,11,+4%,D,+4%,,,,,,,,"['Les Délices de Belle France', 'Belle France']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,,,100 g,,,['IT 172-L CE'],,,,
497,Emmental râpé 1 - Rippoz - 1kg,3258810045774,D,['Frais'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Fromages râpés', 'Emmentals râpés']",['France'],['irrqnçaiset• 15%3/18 Riprhozj —Restauration —'],[],29 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,369,-1%,1544 kj(369 kcal),-1%,29,+0%,19,-4%,"0,5",-45%,"0,5",+24%,27,-1%,"0,7",-8%,"0,28",-8%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Rippoz', 'Rippoz Restauration']",,,,,,,1 kg,,,,,,,
498,200G Moutarde Forte Au Poivre Vert - 200g,3258831001032,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],11 g,en quantité modérée,0.6 g,en faible quantité,2 g,en faible quantité,5.5 g,en quantité élevée,?,,15,-91%,63 kj(15 kcal),-91%,11,+2%,"0,6",-27%,"3,3",-52%,2,-48%,"6,8",+4%,"5,5",+17%,"2,2",+17%,6,-48%,C,-48%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,200 g,,,,,,,
499,Moutarde au moût de raisin - Delouis,3258831010270,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],9 g,en quantité modérée,0.6 g,en faible quantité,12 g,en quantité modérée,5.3 g,en quantité élevée,?,,174,+2%,728 kj(174 kcal),+3%,9,-17%,"0,6",-27%,13,+88%,12,+211%,"6,1",-7%,"5,3",+13%,"2,12",+13%,14,+21%,D,+21%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Delouis'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE']",,,,,,,,,,
500,Vinegar Sherry De Jerez Organic 250ML - Delouis - 250ml,3258831090159,B,,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs', 'Vinaigres de Xérès']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,30,+88%,126 kj(30 kcal),+114%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['Delouis'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,250 ml,,,,,,,
501,Galettes 3 fromages - Céréalpes - 2,3259011131822,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale""]",['France'],"['Flocons de blé complet hydratés* 40,8 g', '1', 'riz complet cuit* 27,4 g', '1', 'flocons d’avoine complète hydratés* 20,5 g', '1', 'oignons* 9,8 g', '1', 'farine de blé complet* 9 g', '1', 'emmental* 6 g', '1', 'fromage de chèvre* 3 g', '1', 'gorgonzola* 3 g', '1', 'huile de tournesol* désodorisée', 'sel de mer', 'herbes de Provence*', 'poivre*']",['Non végétalien'],6.3 g,en quantité modérée,2.8 g,en quantité modérée,2.6 g,en faible quantité,1 g,en quantité modérée,?,,201,+23%,841 kj(201 kcal),+26%,"6,3",-1%,"2,8",+180%,26,+67%,"2,6",+7%,"7,8",+26%,1,+10%,"0,4",+10%,0,-100%,B,-100%,,,,,,,,['Céréalpes'],,"['Gluten', 'Lait']",3,"['Bio', 'Bio européen', 'FR-BIO-01', 'Sans huile de palme', 'AB Agriculture Biologique']",,,2,,,,,,,
502,Mini Fourrés Saveur Chocolat - 210 GR - Valpiform - 210g (6 * 35g),3259011144068,E,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gâteaux', 'Gâteaux au chocolat']",['France'],"['Œuf', 'sucre', 'graisse de palme non hydrogénée', 'farine de riz', 'fécule de pomme de terre', 'dextrose', 'humectant ', 'glycérol', 'sirop de glucose', 'fructose', 'fructo-oligosaccharides', 'arômes', 'amidon de riz', 'cacao maigre 0,7 %', 'émulsifiant ', 'lécithines de colza', 'épaississant ', 'gomme guar', ' poudres à lever ', 'diphosphates', 'carbonates de sodium', 'phosphates de calcium', 't alcool éthylique', 'sel', 'gélifiants ', 'alginate de sodium', 'pectines', ""t blanc d'œuf"", 'affermissant ', 'chlorure de calcium']","['Huile de palme', 'Non végétalien']",22 g,en quantité élevée,2.6 g,en quantité modérée,29 g,en quantité élevée,0.78 g,en quantité modérée,?,,423,-3%,1770 kj(423 kcal),-3%,22,-7%,"2,6",-67%,52,+6%,29,-6%,"4,3",-25%,"0,78",+50%,"0,312",+50%,15,-19%,D,-19%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,['Valpiform'],"['E422 - Glycérol', 'E322i - Lécithine', 'E412 - Gomme de guar', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', 'E440 - Pectines', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition']",['Œufs'],4,"['Huile de palme durable', 'en:gluten-free', 'Fabriqué en France', 'Sans lactose', 'Sans lait']",,"Cakes fourrés, sans gluten, adaptés aux personnes intolérantes au gluten - Mini Fourrés Saveur Chocolat",210 g (6 * 35 g),['Huile de palme'],['France'],,,,,
503,Quiche Lorraine - Valpibio,3259011163342,C,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",['France'],[],[],18 g,en quantité modérée,8.2 g,en quantité élevée,3.8 g,en faible quantité,1.5 g,en quantité modérée,1181,+12%,314,+19%,1181 kj(314 kcal),+7%,18,+10%,"8,2",-6%,26,+35%,"3,8",+65%,"9,7",+5%,"1,5",+44%,"0,6",+44%,16,+13%,D,+13%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,['Valpibio'],,,,"['Bio', 'Bio européen', 'en:gluten-free', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,['France'],,,,,
504,Coffret Breton : Assortiment de Galettes & Palets Bretons - Ker Cadélac - 325g e,3259426013034,C,"['Boîte en métal', 'Barquette plastique', 'Film plastique', 'Métal', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",['France'],"['Palets pur beurre : Farine de blé', 'beurre pâtissier 27%', 'sucre', 'œufs', ""blancs d'œufs"", 'sel', 'poudre à lever : diphosphates', 'carbonates de sodium', 'malt ', 'orge', 'colorant : caroténoïdes', '\r Galettes pur beurre : Farine de blé', 'sucre', 'beurre pâtissier 20%', 'œufs', 'sel', ""poudre à lever : carbonates d'ammonium"", 'carbonates de sodium', 'diphosphates', 'malt ', 'orge', ""blancs d'œufs"", 'poudre de lait écrémé', 'stabilisant : sorbitols', 'colorants : caramel ordinaire', 'caroténoïdes', 'épaississant : gomme arabique']",['Non végétalien'],27.9 g,en quantité élevée,19.5 g,en quantité élevée,26.9 g,en quantité élevée,1.2 g,en quantité modérée,2067,-1%,519,+4%,2067 kj(519 kcal),-1%,"27,9",+10%,"19,5",+19%,"60,6",+0%,"26,9",+4%,"5,5",-7%,"1,2",+37%,"0,48",+37%,26,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,['Ker Cadélac'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160 - Caroténoïdes', ""E503 - Carbonates d'ammonium"", 'E420 - Sorbitol', 'E150a - Caramel E150a', ""E414 - Gomme d'acacia""]","['Œufs', 'Gluten', 'Lait']",4,"['Point Vert', 'Sans conservateurs', 'en:produced-in-bretagne']",,"Galettes pur beurre, Palets pur beurre - Coffret Breton : Assortiment de Galettes & Palets Bretons",325 g e,,"['Saint Tugdual', 'France', 'Bretagne']",,https://www.kercadelac.fr/les-gammes/coffret-breton,,,
505,P'tit Carré Pomme - 40 gr - Ker Cadélac - 40g e,3259426022104,,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",['France'],[],[],5.2 g,en quantité modérée,5.2 g,en quantité élevée,14 g,en quantité élevée,0.4 g,en quantité modérée,625,-63%,149,-63%,625 kj(149 kcal),-63%,"5,2",-73%,"5,2",-32%,24,-52%,14,-50%,"1,5",-72%,"0,4",-34%,"0,16",-34%,10,-44%,C,-44%,,,,,,,,['Ker Cadélac'],,,,['en:produced-in-bretagne'],,Gâteau fourré pomme - P'tit Carré Pomme,40 g e,,"['France', 'Bretagne']",,,,,
506,Demi gateau Breton a la pomme Le Guillou - 400g,3259426022654,,"['Blister', 'Film plastique', 'Plastique']","['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons']",['France'],"[""Farine de blé - Sucre - Beurre - Jaune d'oeufs - Pomme - Sirop de glucose - Sel - Lait demi-écrémé - Poudres à lever : diphosphates,carbonates de sodiums - Émulsifiant: mono - et diglycérides d'acides gras - Épaississant : pectines - Arôme - Acidifiant : acide citrique - Correcteur d'acidité : citrate de sodium - Conservateur : sorbate de potassium - Colorant : caroténoïdes""]","['Sans huile de palme', 'Non végétalien']",18 g,en quantité modérée,12 g,en quantité élevée,32 g,en quantité élevée,1.1 g,en quantité modérée,?,,432,+10%,1807 kj(432 kcal),+9%,18,-4%,12,+3%,62,+22%,32,+19%,"4,9",-8%,"1,1",+59%,"0,44",+59%,26,+33%,E,+33%,,,,,,,,['Le Guillou'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500i - Carbonate de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait']",4,"['en:palm-oil-free', 'en:produced-in-bretagne']","['Leclerc', 'E.Leclerc', 'Intermarché']",,400 g,,,,,,,
507,Madeleines Bretonnes Royales - Le Guillou,3259426035647,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['France'],"['Madeleines Pur Beurre', ' Ingrédients Farine de blé - Sucre - beurre pâtissier 25% - Œufs frais entiers 21% - Sirop de glucose - Sel - Poudres à lever : diphosphates', 'carbonates de sodium - Arôme ', 'lait', ' Colorant : caroténoides', 'Contient : gluten ', 'blé', 'lait', 'œufs', 'Traces éventuelles de fruits à coque']",['Non végétalien'],27.8 g,en quantité élevée,19.1 g,en quantité élevée,29.1 g,en quantité élevée,1.07 g,en quantité modérée,?,,475,+8%,1987 kj(475 kcal),+8%,"27,8",+22%,"19,1",+176%,"50,2",-5%,"29,1",+6%,"5,2",-8%,"1,075",+33%,"0,43",+33%,25,+36%,E,+36%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,['Le Guillou'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
508,"Dammann Peppermint Tea Cristal Teabag (pack of 2, Total 50 Teabags) - Dammann Frères",3259920045135,,,,['France'],"['conserver de préférence dans un endroit scc ct à de la luniière Produit conditionné en France ', ""consonltner de préférence avant fin : voir au-dessous de la boîte 25 bustine Cristal@ Menta piperita s- Tisana Infusion : 6 mn / 1000C Peso netto : 30g Conservare preferibilmente al riparo dall'umidità e dalla luce -z"", 'Prodotto confezionato in Francia Da consumarsi preferibilmente entro la fine : vedere sul lato inferiore della scatola 25 bolsitas de Cristal@ Menta piperita - Tisana Infusi6n : 6 mn / 1000C Peso neto : 30g onservar en lugar fresco y seco', 'lejos de la luz Producto envasado en Francia Consumir preferentemente antes del final : ver envase']",[],,,,,,,,,?,,4,,17 kj(4 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,['Dammann Frères'],,,,,,,,,,,,,,
509,The vert parfume Soleil Vert DAMMANN - Dammann Frères,3259920067618,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,['Dammann Frères'],,,,,,,,,,,,,,
510,Escargots Bio - Escal - 72g,3261080932521,,,,['France'],"['Ivescatgots* cuites 45% ', 'Helix aspersa* ', 'mollusque', 'otomtiqoes* ', 'dont céleri*', 'beurre* ', 'lait', 'eau', 'persil* 3,4%', 'échoÌote?', 'sel', 'poivre?', "" ?hoduit de l'agriculture biologique"", 'possibles de : ?auf', 'blé', 'soio', 'crustacé', 'poisson', "" I*REARATION : Retirer l'étui et le film d'emballage de l'assiette"", "" Mettre l'assiette sur une grille au milieu du four "", 'ne pas placer près des bords du fou', ' à ISOOC ', 'th', '5', ' pendant 10 ù 12 minutes', ' les escargots sont prêts dès que le beurre commence à grésiller', ' 10 grille en dehors du four', ""laisser refroidir l'assiette sur la grille pendan environ 20 secondes avant de la saisir et de servir"", ' accompagnement : de la baguette fraîche']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,328,,1372 kj(328 kcal),,31,,20,,"3,5",,"1,8",,"8,7",,"1,4",,"0,56",,,,,,,,,,,,,['Escal'],,"['Crustacés', 'Poisson', 'Gluten', 'Lait', 'Mollusques']",,"['Bio', 'Bio européen']",,,72 g,,,,,,,
511,Olive Noires de Nyons - 350g,3261414108608,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Pickles', 'Légumes et dérivés', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Légumes français', 'Olives noires de Nyons']",['France'],[],[],29 g,en quantité élevée,4 g,en quantité modérée,0 g,en faible quantité,4.6 g,en quantité élevée,?,,361,+2%,1510 kj(361 kcal),+3%,29,-19%,4,+1%,0,-100%,0,-100%,2,+10%,"4,6",+12%,"1,84",+12%,11,+1%,D,+1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,350 g,,,,,,,
512,Olives noires de nyons - 210g,3261414356009,A,['Verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Pickles', 'Légumes et dérivés', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Légumes français', 'Olives noires de Nyons']",['France'],"['olives noires biologiques', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",37 g,en quantité élevée,3.97 g,en quantité modérée,0 g,en faible quantité,4.57 g,en quantité élevée,?,,361,+2%,1510 kj(361 kcal),+3%,37,+3%,"3,97",+1%,0,-100%,0,-100%,2,+10%,"4,57",+11%,"1,828",+11%,11,+1%,D,+1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['olives noires'],,,3,"['Bio', 'Bio européen', 'AOP', 'FR-BIO-01', 'AB Agriculture Biologique']",,Olives noires de Nyons biologiques,210 g,,['Coopérative du Nyonsais'],,,"['France', 'Nyons']",,
513,Affinade - 100g,3261414755017,,,,['France'],[],[],,,,,,,,,?,,284,,1188 kj(284 kcal),,"27,5",,"3,03",,"3,4",,0,,"1,7",,0,,0,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,
514,Anchoiade - Bons Olive - 100g,3261414755185,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Anchoïade']",['France'],"['Vdwrsnubiüonnelles xie:1022kJ/248kml', 'Graisa214g ITTdngtlres 16,24 g', '1,51 g', ' gontstcres1Ag', 'a : g', 'Sel : 7,61 g', ' conservation : Après au frais et consommer rapidement* préférence ad fin : voir couvercle', ' du hbreis 26 95']",[],21.4 g,en quantité élevée,2.7 g,en quantité modérée,1.1 g,en faible quantité,7.5 g,en quantité élevée,?,,248,-38%,1038 kj(248 kcal),-38%,"21,4",-46%,"2,7",-45%,"1,1",-54%,"1,1",+110%,"9,1",+10%,"7,5",+39%,3,+39%,15,-20%,D,-20%,,,,,,,,['Bons Olive'],,,,,,,100 g,,,,,,,
