,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
82,Le petit Pastisson,3598960034656,,['France'],[],[],?,1470,6150 kj(1470 kcal),"33,9","12,4","0,9","0,6","11,7","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Terrine de volaille a l'armagnac,3760076454097,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Escargots,5200121321045,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Galette aux pommes,0201869032809,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Galette Frangipane D28,0207232042574,,['France'],[],[],?,416,1741 kj(416 kcal),29,16,31,"9,3","6,6","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Salchichas cocidas y ahumadas de cerdo con queso - Schara,8410448003174,,['France'],[],[],?,234,979 kj(234 kcal),18,7,"0,8","0,1","16,99","1,75","0,7",['Schara'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,La bûche glacée Vanille Pêche de vigne,3760088755113,,['France'],[],[],?,163,682 kj(163 kcal),"5,5","3,7","25,6","21,7","2,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
89,Yoplait Fruit Yogurt Str / Pch 125 Grams Singl,5011039150302,,['France'],[],[],?,94,393 kj(94 kcal),"2,4","1,6","13,6","11,3","3,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Fondant au Chocolat,3700758500773,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Rillettes de canard,1023908,,['France'],[],[],?,372,1556 kj(372 kcal),"29,8","9,7","0,7","0,4","12,9","1,7","0,68",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,,,,29.8 g,en quantité élevée,9.7 g,en quantité élevée,0.4 g,en faible quantité,1.7 g,en quantité élevée,,-7%,-7%,-19%,-22%,+21%,+59%,-20%,+24%,+24%,20,+4%,E,+4%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,"['FR 74.025.002 CE', 'Ballaison (Haute-Savoie, France)']",,,,,,,
92,Noix de cajou  grillees salees,3700196612069,,['France'],[],[],?,594,2485 kj(594 kcal),45,10,26,11,21,"1,3","0,52",,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,45 g,en quantité élevée,10 g,en quantité élevée,11 g,en quantité modérée,1.3 g,en quantité modérée,,-1%,-1%,-2%,+18%,+2%,+69%,+12%,+107%,+107%,13,+72%,D,+72%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,"['EMB 59400', 'Merville (Nord, France)']",,,,,,,
93,Filet de poulet blanc,0253055034180,,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-21%,-20%,-55%,-46%,-100%,-100%,+1%,-85%,-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
94,Chips de pommes -,9912345679005,,['France'],[],[],?,344,1439 kj(344 kcal),"3,8","1,9","85,3","72,5",0,"0,6","0,24",,,['Chips de pomme'],,,,,3.8 g,en quantité modérée,1.9 g,en quantité modérée,72.5 g,en quantité élevée,0.6 g,en quantité modérée,,,,,,,,,,,17,,D,,,,,,,,,,,,,,,,,
95,Pain 7 céréales 350gr,3388484000561,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Haché de porc façon crepinettes,3273230262594,,['France'],[],[],?,295,1234 kj(295 kcal),25,10,"1,7","0,5",15,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 80318A', 'Flixecourt (Somme, France)', 'FR 80.318.001 CE', 'Flixecourt (Somme, France)']",,,,,,,
97,Marguerita Pizza - 3x 350g,0697812012248,3 x 350 g,['France'],[],[],?,219,916 kj(219 kcal),"9,2","3,4","23,4","1,9","9,9","1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'IT-BIO-008']",,,,,,,,
98,Coud de fouet saveur mojito,3700153131732,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Confiture d'aguaymento - D'Marco,7750162000181,,['France'],[],[],?,25,105 kj(25 kcal),0,0,6,6,0,"0,01","0,004","[""D'Marco""]",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,,0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,0.01 g,en faible quantité,,-89%,-89%,-100%,-100%,-89%,-88%,-100%,-57%,-57%,-4,-143%,A,-143%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
100,Tome de savoie Pointe percee,2489436020444,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de Savoie']",,,,,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
101,Merlan pané saveur citron,0206244007748,,['France'],[],[],?,208,870 kj(208 kcal),"9,1","1,7",20,"1,8",11,"0,56","0,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,fromage pour raclette fumée - Jean Perrin,3324440485904,,['France'],[],[],?,336,1406 kj(336 kcal),27,16,"0,8","0,5",21,"1,4","0,56",['Jean Perrin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Thon aux épices cajun - L'Atelier du Poissonnier,3760007090745,,['France'],[],[],?,212.7,890 kj(212 kcal),17,"9,3","1,9","1,9","11,8","1,2","0,48","[""L'Atelier du Poissonnier""]",D,"['Produits de la mer', 'Poissons', 'Thons']",,,,,17 g,en quantité modérée,9.3 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,,+16%,+17%,+71%,+428%,+123%,+350%,-45%,+17%,+17%,16,+421%,D,+421%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,
104,Aubergines grillées à l'huile,3609060002183,,['France'],[],[],?,49,205 kj(49 kcal),"0,7","0,1","9,8","4,8","0,9","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-006', 'Fabriqué en Italie']",,,,,,,,
105,Rhum Kraken Black Spiced,0811538010580,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Beaufort AOP - Reflets de France,0219751028939,,['France'],[],[],?,393,1644 kj(393 kcal),30,20,0,0,27,"1,3","0,52",['Reflets de France'],D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",,,,,30 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,-2%,-2%,-7%,-3%,-100%,-100%,+2%,+14%,+14%,14,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['AOP'],"['EMB 74211A', 'Pers-Jussy (Haute-Savoie, France)']",,,,,,,
107,Confiture de fraise rhubarbe,3770003760139,,['France'],[],[],?,250,1046 kj(250 kcal),0,0,80,60,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Légumes tiges', 'Confitures et marmelades', 'Confitures', 'Rhubarbes', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,0 g,en faible quantité,0 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,,+21%,+20%,-100%,-100%,+51%,+19%,-100%,-100%,-100%,13,+21%,D,+21%,,,,,,,,,,,,,,,,
108,Beech nut fruity oat bars,0052200041314,,"['France', 'États-Unis']","['Whole grain oats', 'raisins', 'dried banana', 'sunflower oil', 'dates']",[],?,364,1523 kj(364 kcal),"11,36",,"63,64","36,36","4,55",0,0,['Beech-Nut'],,['Snacks'],,,,,11.4 g,en quantité modérée,,,36.4 g,en quantité élevée,0 g,en faible quantité,,-19%,-19%,-46%,,+13%,+20%,-28%,-100%,-100%,,,,,,,,,,,,"[""À l'huile de tournesol""]",,,,,Beech-Nut Nutrition Corp.,,,
109,Cappuccino cremig zart - Nescafé,7613037780468,,['France'],[],[],?,382,1598 kj(382 kcal),"7,5","6,7","67,1","50,5","8,9","0,83","0,332",['Nescafé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Gros sel de Camargue,3183280006829,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins', 'Gros sels']",,,,,,,,,,,,,,,,,,,,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,
111,Souris d'agneau confite,2224658052350,,['France'],[],[],?,125,523 kj(125 kcal),5,"1,9","1,9","0,7",18,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
112,Petit pot bebe - Nestlé,33656564,,['France'],[],[],?,44,184 kj(44 kcal),"0,7","0,1","7,8","2,5","0,9","0,03","0,012",['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,
113,Danao mangue,0205779008664,,['France'],[],[],?,39,163 kj(39 kcal),"0,1",0,"8,5","8,1","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,
114,Jambon sec,2452160091578,,['France'],[],[],?,248,1038 kj(248 kcal),16,6,"0,3","0,3",26,"4,7","1,88",,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",,,,,16 g,en quantité modérée,6 g,en quantité élevée,0.3 g,en faible quantité,4.7 g,en quantité élevée,,+6%,+6%,+25%,+23%,-49%,-20%,-10%,-6%,-6%,18,+8%,D,+8%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,
115,"Sel Marin ""Brut de récolte""",3558180030043,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Epicerie', 'Condiments', 'Sels', 'Sels marins']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,
116,Arrageoise spéciale de Noël -,5412186002115,,['France'],[],[],?,?,,?,,?,,?,0,0,,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,-100%,-100%,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,
117,Sale al limone,8054314420650,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Thé vanille,6091010300208,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Adibou,0045496368463,,['France'],[],[],?,23,96 kj(23 kcal),38,14,14,7,23,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Pommes pressées et eau d'érable - Andros,2007351008998,,['France'],[],[],?,32,134 kj(32 kcal),"0,1",0,"7,7","7,7","0,1","0,03","0,012",['Andros'],D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits']",,,,,0.1 g,en faible quantité,0 g,en faible quantité,7.7 g,en quantité élevée,0.03 g,en faible quantité,,-30%,-30%,-41%,-100%,-27%,-21%,-74%,+203%,+203%,1,-74%,B,-74%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",,,,,,,,
121,Turkish Delight,8697436543809,,['France'],[],[],?,400,1674 kj(400 kcal),"8,2","2,3",80,68,"1,7",0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,,,8.2 g,en quantité modérée,2.3 g,en quantité modérée,68 g,en quantité élevée,0 g,en faible quantité,,+13%,+13%,+316%,+363%,-2%,+8%,+77%,-100%,-100%,16,+19%,D,+19%,,,,,,,,,,,,,,,,
122,acelora bio - 71g,3700446495510,71 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
123,Vanilla flavoured fudge,8718537528240,,['France'],[],[],?,421,1761 kj(421 kcal),"11,6","5,8",78,67,"0,8","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Miel - Le rucher de macameli,3760245180116,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,['Le rucher de macameli'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,0 g,en faible quantité,,-100%,-100%,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
125,Bunny box - Haribo - 800g,4001686827062,800 g,['France'],[],[],?,?,,?,,?,,?,,,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Hartige sticks spirulina et zeezout,8710296950218,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Carroll's Tagliatelle Carbonara,5099338025811,,['France'],[],[],?,146,611 kj(146 kcal),6,"2,6",16,"1,8","6,4","0,92","0,368","[""Carroll's""]",,"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés à réchauffer au micro-ondes']",,,,,6 g,en quantité modérée,2.6 g,en quantité modérée,1.8 g,en faible quantité,0.92 g,en quantité modérée,,+10%,+10%,+10%,+26%,+24%,+3%,-4%,+18%,+18%,3,+113%,C,+113%,,,,,,,,,,,,,,,,
128,Millefiori,8016667000422,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Saumon atlantique fumé - Metro chef,2316672010017,,['France'],[],[],?,0,0 kj(0 kcal),13,"1,9","0,5","0,5",22,"2,7","1,08",['Metro chef'],E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,,,,13 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,2.7 g,en quantité élevée,,-100%,-100%,+17%,-12%,+1%,+40%,-0%,-7%,-7%,11,-19%,D,-19%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Point Vert'],"['FR 29.232.500 CE', 'Quimper (Finistère, France)', 'EMB 29340']",,,,,,,
130,Abondance Fermier,2201601043825,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,,,,,,,,,,,,,,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['AOP'],,,,,,,,
131,Chocolat noir 65% - 100g,3698888001034,100 g,['France'],[],[],?,555,2322 kj(555 kcal),40,25,37,34,"7,3","0,01","0,004",,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,40 g,en quantité élevée,25 g,en quantité élevée,34 g,en quantité élevée,0.01 g,en faible quantité,,-0%,+0%,+2%,+8%,-4%,+7%,-5%,-79%,-79%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,
132,Brioche des rois fleur orange,0208211022969,,['France'],[],[],?,1254,5247 kj(1254 kcal),"8,1","5,1",47,"9,2","8,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
133,Filets de poulet rôti,2431628015615,,['France'],[],[],?,151,632 kj(151 kcal),"5,8","1,4",0,0,24,"1,4","0,56",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,,+4%,+4%,+8%,+3%,-100%,-100%,+2%,+4%,+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
134,Dinde farcie aux marron & aux cepes,0208833130011,,['France'],[],[],?,157,657 kj(157 kcal),"7,5","2,9","2,7","0,3",20,"0,49","0,196",,D,"['Viandes', 'Volailles', 'Dindes']",,,,,7.5 g,en quantité modérée,2.9 g,en quantité modérée,0.3 g,en faible quantité,0.49 g,en quantité modérée,,+17%,+17%,+129%,+207%,-28%,-65%,-4%,-45%,-45%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
135,Galette royale,3602826549656,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Filets de maquereaux - La grande épicerie Paris - 169g,3346041413520,169 g,['France'],"['filets de maquereaux 56 %', 'eau', ""moutarde à l'Ancienne 8 %"", 'moutarde* de Dijon', 'huile de tournesol', 'vinaigre de vin blanc*', ""vinaigre d'alcool"", 'amídon de riz', 'vin blanc*', 'sel', 'épices', ""purée d'ail "", 'ail', 'sel', 'acidifiant : E330', 'conservateur : E223*', 'stabilisants : gomme quar et farine de graines de caroube', 'arôme', ' *Contient: sulfites']","['Non végétalien', 'Non végétarien']",?,562,2351 kj(562 kcal),9,"2,6","0,5","0,5",13,"0,56","0,224",['La grande épicerie Paris'],C,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux à la moutarde', 'Maquereaux en conserve']",,"['E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition']",,4,9 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,0.56 g,en quantité modérée,,+169%,+167%,-45%,-20%,-55%,-13%,-2%,-55%,-55%,11,+84%,D,+84%,39.7%,14.3%,30.7%,14.1%,1.0%,0.3%,55,['Fabriqué en France'],"['FR 29.039.512 CE', 'Concarneau (Finistère, France)']",,['Conserve métal'],,,,,
137,Café,3418320322004,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Saucisson Le Ventoux,2200001052154,,['France'],[],[],?,293,1226 kj(293 kcal),21,"7,7","0,396","0,19","25,73","4,84","1,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Pan rallado con ajo y perejil,8433329022538,,['France'],[],[],?,0,0 kj(0 kcal),"0,9","0,4",40,1,5,"0,5","0,2",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Chapelure']",,,,,0.9 g,en faible quantité,0.4 g,en faible quantité,1 g,en faible quantité,0.5 g,en quantité modérée,,-100%,-100%,-75%,-47%,-44%,-78%,-55%,-63%,-63%,-1,-116%,A,-116%,,,,,,,,,,,,,,,,
140,Articulations - La Vie Claire,3266191018775,,['France'],[],[],?,?,,?,,?,,?,0,0,['La Vie Claire'],,,['La Vie Claire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
141,Filets de poulet jaune,0253079042185,,['France'],[],[],?,110,460 kj(110 kcal),1,"0,3","0,2",0,25,"0,1","0,04",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-16%,-15%,-65%,-60%,-58%,-100%,+10%,-87%,-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Bleu Blanc Cœur'],,,,,,,,
142,Escalopes de dinde,2865526060741,,['France'],[],[],?,110,460 kj(110 kcal),1,"0,3","0,2",0,25,"0,1","0,04",,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,1 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-9%,-9%,-24%,-26%,-93%,-100%,+9%,-82%,-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,
143,Langues de chatte,3760135611621,,['France'],[],[],?,538,2251 kj(538 kcal),33,21,55,40,"5,9","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Melange PEPS,2600697027946,,['France'],[],[],?,537,2247 kj(537 kcal),39,3,27,26,15,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Desiam Glass Noodles Cooking Set - 160g,8858960301406,160 g,['France'],[],[],?,255,1067 kj(255 kcal),0,0,65,20,"0,6","4,5","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,
146,L'extraordinaire canard du sud ouest,2407270128447,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Bicarbonate de soude - M&S,00914604,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,['M&S'],B,"['Additifs alimentaires', 'Anti-agglomérants', 'Bicarbonates de sodium']",,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,,,-100%,-100%,-100%,-100%,-100%,,,,,0.0%,86.4%,6.5%,3.7%,3.4%,0.0%,86,,,,,,,,,
148,Galette frangipane saveur D28,0202103064945,,['France'],[],[],?,481,2013 kj(481 kcal),"32,5","18,6","36,3","10,8","7,7","0,8","0,32",,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,32.5 g,en quantité élevée,18.6 g,en quantité élevée,10.8 g,en quantité modérée,0.8 g,en quantité modérée,,+14%,+14%,+23%,+26%,-6%,-16%,+21%,+15%,+15%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
149,Chocolat - Comptoir du Cacao,3760078999152,,['France'],[],[],?,147,615 kj(147 kcal),35,17,48,40,7,"0,29","0,116",['Comptoir du Cacao'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Saumon fume - Est friture,2434981059692,,['France'],[],[],?,250,1046 kj(250 kcal),19,"2,6","0,5","0,5","19,8","1,9","0,76",['Est friture'],E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,,,,19 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+35%,+35%,+81%,+26%,+1%,+50%,-10%,-33%,-33%,13,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,"['FR 67.540.001 CE', 'Wintershouse (Bas-Rhin, France)']",,,,,,,
151,Eau de source,3375830009316,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Feuilleté  amandes noir prlainé aux amandes affilees - 45g,3760165752424,45 g,['France'],[],[],?,559.7,2342 kj(559 kcal),"34,1","19,8","54,8",36,8,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Dairy Milk Oreo - Cadbury,7622210589941,,['France'],[],[],?,523,2188 kj(523 kcal),28,16,59,48,"6,7","0,5","0,2",['Cadbury'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Miel de châtaigner - 500g,3760098480029,500 g,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
155,Jambon superieur sans couenne,2871621031623,,['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",,,,,,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['EMB 14752E', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,
