,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
1830,Miel de montagne,3760253060042,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
1831,Poulet rôti -,2167930004817,,,,,['France'],"['Poulet 113 g', 'sel', 'épices', 'arômes naturels', 'sirop de glucose']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,624,,161,,624 kj(161 kcal),,"7,2",,"1,8",,0,,0,,24,,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,
1832,Galette au blé noir,3450611010054,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,Melange mexicain,2600692045853,,,,,['France'],[],[],,,,,,,,,,?,,533,,2230 kj(533 kcal),,34,,"5,5",,37,,"4,2",,17,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,
1834,Carciofi con verdure - 480g,8033945985127,,480 g,,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,Bouillon miso blanc,3770013496141,,,,,['France'],[],[],,,,,,,,,,?,,5,,21 kj(5 kcal),,"0,1",,0,,"0,7",,"0,7",,"0,4",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,
1836,Poivre vert au naturel - 60g,5400155083418,,60 g,,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bocal'],,,,,,,,,
1837,Poulet rôti,2209550005291,,,,,['France'],[],[],,,,,,,,,,?,,181,,757 kj(181 kcal),,9,,"2,5",,1,,0,,24,,1,,"0,4",,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,
1838,Tuiles goût Bacon - 170g,3562700544767,,170 g,,,['France'],[],[],,,,,,,,,,?,,500,,2092 kj(500 kcal),,27,,"3,1",,59,,"3,5",,"4,1",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
1839,Authentique Palette à l'Emmental rôtie d'Alsace - Moritz,0290793035758,,,['Moritz'],,['France'],[],[],,,,,,,,,,?,,167,,699 kj(167 kcal),,"8,1",,"3,3",,"0,5",,"0,4",,0,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,
1840,Vermicelle de riz,8847100981622,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Vermicelle de riz']",['France'],[],[],,1.06 g,en faible quantité,0.52 g,en faible quantité,0.24 g,en faible quantité,,,?,,352,+5%,1473 kj(352 kcal),+6%,"1,06",+65%,"0,52",+103%,"79,8",+16%,"0,24",-42%,"5,91",+21%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Provolone piquant,0258843035684,D,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Provolone']",['France'],[],[],,29 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,,,?,,369,+2%,1544 kj(369 kcal),+2%,29,+1%,19,0%,0,-100%,0,-100%,27,+7%,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1842,Fromage fumé jambon,0258741019618,,,,,['France'],[],[],,,,,,,,,,?,,313,,1310 kj(313 kcal),,25,,17,,1,,1,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,Poire en moitiés au sirop Bio,3760169765932,,,,,['France'],[],[],,,,,,,,,,?,,61,,255 kj(61 kcal),,0,,0,,"13,7",,"9,73",,"0,5",,"0,988",,"0,395",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,
1844,Paté aux pommes,3296410003169,,,,,['France'],[],[],,,,,,,,,,?,,348,,1456 kj(348 kcal),,32,,11,,"2,8",,"2,4",,11,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
