,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,traceability_code,additives,allergens,nova_score,markets,brand_owner,ingredients_origins,manufacturing,link,generic_name
1646,Pimenton dulce ecológico,8436553980247,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
1647,Té rojo - 36g,8480013136316,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,36 g,,,,,,,,,,,,
1648,"Orges perles, legumes et champignons au confit d'echalote - 1kg",3434410075407,,,['France'],[],[],,,,,,,,,?,,103,,431 kj(103 kcal),,"4,3",,"0,5",,12,,2,,"2,5",,"0,52",,"0,208",,,,,,,,,,,,,,1 kg,,,,,,,,,,,,
1649,Almond Flavour Essence 28ML (mandelar. ) TRS,5017689084110,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Hydro whey zero - BiotechUSA,5999076221448,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:gluten-free'],,,['BiotechUSA'],,,,,,,,,,
1651,Filets de poulet,2227364063238,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],8.2 g,en quantité modérée,0.593 g,en faible quantité,0.6 g,en faible quantité,0.56 g,en quantité modérée,?,,111,-15%,464 kj(111 kcal),-15%,"8,2",+185%,"0,593",-21%,"0,8",+67%,"0,6",+147%,24,+5%,"0,56",-25%,"0,224",-25%,-2,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
1652,Limonade,4850024000229,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,01179234,01179234,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Dos de cabillaud,0239502042441,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,,,,,,,,,,,,,,
1655,Filet de porc saumure,2201429029919,,,['France'],[],[],,,,,,,,,?,,141,,590 kj(141 kcal),,"6,3",,"2,9",,"1,2",,"0,9",,20,,"1,89",,"0,756",,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Pain céréales et graines,0214183009129,,,['France'],[],[],,,,,,,,,?,,240,,1004 kj(240 kcal),,"2,4",,"0,3",,45,,"1,2",,"8,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Chtoura Royal,5288039272055,,,['France'],[],[],,,,,,,,,?,,195,,816 kj(195 kcal),,12,,8,,15,,10,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Pain kamut 500 grs CARCES,9802000024298,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Saucisse a L'ail Valais - Migros,7610200229113,,,['France'],[],[],,,,,,,,,?,,325,,1360 kj(325 kcal),,10,,"9,6",,"0,7",,"0,7",,27,,"4,1",,"1,64",,,,,,,,,,,,,,,,['Migros'],,,,,['Migros'],,,,,
1660,Filets de poulet - Carrefour - 370g,2227528026963,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Halal', 'Volaille-francaise']",370g,"['Frais', 'Sous vide']",['Carrefour'],"['FR 53.130.001 CE', 'Laval (Mayenne, France)']",,,,['Carrefour'],,,['France'],,
1661,Cochon'or,2248964028670,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,Cuisses de poulet rõti - Maître Coq,0215780025192,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],10 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,1.4 g,en quantité modérée,?,,166,-13%,695 kj(166 kcal),-13%,10,-19%,"2,6",-22%,0,-100%,0,-100%,19,+3%,"1,4",+84%,"0,56",+84%,5,+42%,C,+42%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,['Maître Coq'],,,,,,,,,,
1663,Poularde de Licques,3585260352009,,,['France'],[],[],,,,,,,,,?,,208,,870 kj(208 kcal),,"15,3",,"3,8",,"1,7",,"0,6",,"15,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,
1664,Cordon bleu despi,160506700418,D,"['Viandes', 'Préparations de viande', 'Produits panés', 'Cordons bleus']",['France'],[],[],17 g,en quantité modérée,4.5 g,en quantité modérée,1.6 g,en faible quantité,1.29 g,en quantité modérée,?,,261,+18%,1092 kj(261 kcal),+18%,17,+40%,"4,5",+42%,14,+1%,"1,6",+1%,12,-9%,"1,29",-1%,"0,516",-1%,12,+69%,D,+69%,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,['Despi'],,,,,,,,,,
1665,Miel,4260157577435,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,5 poivres - 125g,3760177745674,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,125 g,,,,,,,,,,,,
