,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,packaging,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,generic_name,additives,origin_detail,link,palm_ingredients,brand_owner
25,Mochis glacés citron yuzu - Erhard,3428420009668,,['France'],[],[],?,213,"3,6",42,"3,4",891 kj(213 kcal),2,31,"0,11","0,044",,"['Desserts', 'Surgelés', 'Desserts glacés', 'Mochi glacés']",3.6 g,en quantité modérée,2 g,en quantité modérée,31 g,en quantité élevée,0.11 g,en faible quantité,,-9%,-9%,-44%,-53%,0%,+14%,+63%,+31%,+31%,7,-38%,C,-38%,,,,,,,,['Erhard'],,,,,,,,,,,,,,
26,Chocolat au lait praliné,3770004548118,,['France'],[],[],?,570,"39,1",45,8,2385 kj(570 kcal),"10,9","41,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Hierba de cebada ecológica,8436044516139,,['France'],[],[],?,270,"3,4","34,3","20,1",1130 kj(270 kcal),"1,05","2,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Poule meggy décorée,3760195989616,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Agneau à griller - Gigot sans os en tranche x1,9342520001435,,['France'],[],[],?,?,?,?,?,,,,,,,"['Viandes', ""Viandes d'agneau""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Efferalgan 1000mg - Paracétamol - 8comprimés de 1000mg,01370057,,['France'],[],[],?,?,?,?,?,,,,,,,['Curatif'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Paracétamol'],8 comprimés de 1000 mg,['Papier'],['UPSA SAS'],['06/2020'],['France'],['Pharmacie'],,,,,,,,
31,Le pain spécial vitalité,2848639019028,,['France'],[],[],?,258,11,22,12,1079 kj(258 kcal),"1,3","1,2","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Liqueur Limoncello,3182021040009,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3770013052101,3770013052101,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Poule de Pâques,3273070101671,,['France'],[],[],?,542,32,57,6,2268 kj(542 kcal),20,56,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Star Drink Ginger Ale,42274056,,['France'],[],[],?,37,0,"9,1",0,155 kj(37 kcal),0,"9,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,L'or divin,7141262659810,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Confiserie,8713475690677,,['France'],[],[],?,359,"88,8",0,"0,06",1502 kj(359 kcal),"78,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,allumettes fumees,3348580072848,,['France'],[],[],?,265,"8,8","0,7",16,1109 kj(265 kcal),"0,7","0,6","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Biscottos,8007157000077,,['France'],[],[],?,358,"5,8","68,2","10,2",1498 kj(358 kcal),"1,9","32,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Creme sucree entiere,13305137,,['France'],[],[],?,297,27,12,"2,1",1243 kj(297 kcal),19,12,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Biscuit naturel,0200221078325,,['France'],[],[],?,516,27,60,"6,7",2159 kj(516 kcal),15,34,"0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,pokka aloe blueberry,8888196406019,,['France'],[],[],?,40,0,10,0,167 kj(40 kcal),0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Salade harengs flamande,2800499069476,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
