,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,eco_score,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,additives,nova_score,manufacturing,brand_owner,allergens,ingredients_origins,generic_name,link,palm_ingredients
493,Hampe à griller,2480529017259,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,12 escargots gris,3760178580038,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Gelée de groseille - Valade en Corrèze,3174061830603,,['France'],[],[],?,244,"0,5",60,"0,5",1021 kj(244 kcal),"0,1","42,7",,,,,['Valade en Corrèze'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Poivre noir moulu - Columbia,4007747271140,,['France'],[],[],?,?,?,?,?,,,,,,,['Bouchon en plastique'],['Columbia'],A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs', 'Poivres moulus', 'Poivre noir moulu']",,,,,,,,,,,,,,,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,,,,,,,,,
497,Wuhan Style Noodles,6920802315314,,['France'],[],[],?,357,1,73,12,1494 kj(357 kcal),"0,3","1,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,gratte paille,2480612028070,,['France'],[],[],?,0,?,?,?,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Pâté en croûte cocktail aux olives,3361711000312,,['France'],[],[],?,307,"22,8","15,6","9,8",1284 kj(307 kcal),"9,3",0,"2,1","0,84",,,,,,"['FR 26.067.033 CE', 'Chalancon (Drôme, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Cottes de porc,2887555031950,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Pommes de terre Grenaille,3364310011710,,['France'],[],[],?,?,?,?,?,,,,0,0,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre', 'Pommes de terre grenaille']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,,,,,,,,,
502,Raclette au lait cru en tranches - Reflets de France,0209608042645,,['France'],[],[],?,362,28,1,26,1515 kj(362 kcal),18,1,"1,5","0,6",,,['Reflets de France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Paprika doux moulu - El Morjane - 100g,3700640601434,,['France'],[],[],?,?,?,?,?,,,,,,100 g,,['El Morjane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Cafe Rene Grande,5902480014254,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Potée Champenoise,3760028829652,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Grande Hazelnut,5902480017088,,['France'],[],[],?,5,"0,1","0,6","0,6",21 kj(5 kcal),"0,1","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Ungarische Gulaschsuppe - 800ml,4012682015360,,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,800 ml,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
