,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,categories,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,link,markets,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,palm_ingredients,traceability_code,ingredients_origins,brand_owner,producer_info,origin_detail
53,Cracotte Fraise - Lu,91150325,['Lu'],,['France'],"['Farine de blé 45 %', 'sirop de glucose-fructose', 'sucre', 'humectant ', 'glycérol', 'dextrose', 'huile de palme', 'purée de fraises 4,1 %', 'purée de fraises concentrée 1,4 % ', 'équivalent purée de fraises 8,8 %', 'lactosérum en poudre ', 'de lait', 'acidifiants ', 'acide citrique', 'acide malique', 'jus de carotte pourpre concentré', 'gélifiant ', 'pectines', ""correcteurs d'acidité "", 'citrates de sodium', 'citrates de calcium', 'sel', 'arôme', 'émulsifiant ', 'lécithine de tournesol', 'minéral ', 'diphosphate ferrique', ' Peut contenir fruits à coque']","['Huile de palme', 'Non végétalien']",?,369,1544 kj(369 kcal),"4,9","2,3",79,33,"4,8","0,325","0,13","Bâtonnets de céréales fourrés (50%) à la fraise, enrichis en fer",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes', 'Tartines craquantes grillées fourrées aux fruits']",,4.9 g,en quantité modérée,2.3 g,en quantité modérée,33 g,en quantité élevée,0.325 g,en quantité modérée,,-1%,-1%,-13%,-1%,+3%,-1%,-1%,+27%,+27%,13,-1%,D,-1%,B,,,4,62.3%,18.9%,8.2%,5.7%,4.9%,0.0%,89,"['E422 - Glycérol', 'E330 - Acide citrique', 'E296 - Acide malique', 'E440 - Pectines', 'E331 - Citrates de sodium', 'E333 - Citrates de calcium', 'E322i - Lécithine']","['Gluten', 'Lait']",['Huile de palme'],,,,,
54,Mais stangerl,9120049780051,,"['Bio', 'en:gluten-free']",['France'],[],[],?,378,1582 kj(378 kcal),"3,5","0,1",75,"1,9","8,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,EyGelb,9120058713002,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AT-BIO-301']",['France'],[],"['Végétalien', 'Végétarien']",?,321,1343 kj(321 kcal),4,1,45,3,20,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Saturn Ready to drink food Original - Saturo - 500ml,9120082271004,['Saturo'],"['Végétarien', 'Sans gluten', 'Végétalien']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",418,100,418 kj(100 kcal),"4,8","0,4","8,7","2,3","4,9","0,19","0,076",,500 ml,['Bottle'],"['Plats préparés', 'Substituts de repas']",,4.8 g,en quantité modérée,0.4 g,en faible quantité,2.3 g,en faible quantité,0.19 g,en faible quantité,-64%,-69%,-69%,-49%,-81%,-73%,-83%,-76%,-76%,-76%,,,,,B,,['Aldi'],,62.5%,17.1%,9.5%,6.2%,3.7%,1.0%,84,,,,,,,,
57,Nestle Milo 1KG - 1kg,9300605000926,['Nestlé'],['Contient du gluten'],"['Australie', 'France']","['EXTRACT OF MALT BARLEY ', '16%', ' OR MALT BARLEY AND RICE ', 'TOTAL EXTRACT 35%', 'MILK SOLIDS', 'SUGAR', 'COCOA', 'MINERALS ', 'CALCIUM', 'IRON', 'MALTODEXTRIN ', 'CORN', 'VITAMINS ', 'C', 'B3', 'A', 'B6', 'D', 'B2', 'B12', 'EMULSIFIER LECITHIN', ' CONTAINS GLUTEN', 'MILK AND SOY']",['Non végétalien'],?,400,1674 kj(400 kcal),10,"6,1","64,5","46,4","11,9","0,9","0,36",,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],4,,,,,,,,['E322i - Lécithine'],"['Gluten', 'Lait', 'Soja']",,,,,,
58,Cookie triple choc - Woolworths,9300633038632,['Woolworths'],,['France'],[],[],?,463,1937 kj(463 kcal),"18,3","12,8","68,5","39,5","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sanit Peanut BTR CRNC Nas#500g - Sanitarium,9300652012255,['Sanitarium'],,['France'],"['Cacahuètes fraîchement grillées ', '96%', 'huiles végétales', 'stabilisant ', ""mono - et diglycerides d'acides gras"", 'CONTAINS PEANUTS']","[""Pourrait contenir de l'huile de palme""]",?,615,2573 kj(615 kcal),"54,4","8,4",10,5,27,"0,8","0,32",,,,['Matières grasses'],,54.4 g,en quantité élevée,8.4 g,en quantité élevée,5 g,en quantité modérée,0.8 g,en quantité modérée,,-24%,-23%,-39%,-63%,+4364%,+2986%,+15154%,+310%,+310%,7,-38%,C,-38%,,,,4,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Arachides'],,,,,,
60,"Weetbix Bites, Wild Berry - Sanitarium",9300652801286,['Sanitarium'],['en:Verified'],"['Australie', 'France']","['Blé complet ', '68%', 'sucre', 'purées de fruits rouges ', '3%', ' ', 'fraises cassis', 'framboises et myrtilles', 'sucre inverti', ""conservateur d'humidité : glycérol "", 'E422', 'miel', 'minéraux ', 'phosphate de calcium', 'fer', 'sel', 'fibre de blé', 'arômes', ""extrait de malt d'orge"", 'gélifiant : pectine ', 'E440i', ""correcteur d'acidité : Acide malique "", 'E296', 'vitamines ', 'B3', 'B1', 'B2', 'acide folique', ',']",['Non végétalien'],?,350,1464 kj(350 kcal),"1,1","0,2","70,1","22,2","9,3","0,3","0,12",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Pétales multicéréales']",,1.1 g,en faible quantité,0.2 g,en faible quantité,22.2 g,en quantité élevée,0.3 g,en quantité modérée,,-16%,-16%,-91%,-94%,+12%,+25%,-3%,+30%,+30%,-1,-119%,A,-119%,C,,"['Woolworths', 'Coles']",4,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['E422 - Glycérol', 'E440 - Pectines', 'E440i - Pectine non amidée', 'E296 - Acide malique']",['Gluten'],,,,,,
61,M&ms crispy - M&M's,9300682049306,"[""M&M's""]",,"['Australie', 'France']",[],[],?,535,2238 kj(535 kcal),30,18,"59,2","55,5",6,"0,102","0,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,,,,,,,,,,,,
62,Ricotta lignht,9310053102738,,,['France'],[],[],?,98,410 kj(98 kcal),"4,8","3,4","3,1","3,1","8,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Orange and Mango Fruit Juice,9310179188081,,,"['Australie', 'France']",[],[],?,181,757 kj(181 kcal),1,0,8,1,2,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,,,,,,,,,,,,,
64,Sweet chilli sauce -,9310182300937,,,"['Australie', 'France']","['sugar', 'pickled red chilli ', '21%', 'water', 'garlic', 'vinegar', 'salt', 'stabiliser: ', '415', ' nutrtion information per serve 183kj ', '44 cal', ' 0', '1g nil detected nil detected 0', '2g - 0', '1g 10', '4g 9', '8g 207mg per 100ml 1220kj ', '292 cal', ' 0', '6g 1', '0g 0', '4g 69', '0g 65', '3g 1380mg before:see bottle shake well before use', ' refrigerate']",[],?,292,1222 kj(292 kcal),1,"0,4",69,"65,3","0,6","1,38","0,552",,,,"['Epicerie', 'Sauces']",,1 g,en faible quantité,0.4 g,en faible quantité,65.3 g,en quantité élevée,1.38 g,en quantité modérée,,+23%,+24%,-94%,-81%,+596%,+911%,-78%,-43%,-43%,19,+64%,E,+64%,,,['Woolworths'],4,,,,,,,,['E415 - Gomme xanthane'],,,,,,,
65,Golden syrup,9310270160108,,,['France'],['cane sugar syrup'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,1289,5393 kj(1289 kcal),0,0,"75,4","74,9","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Quick Cooking Noodles - Double Phoenix,9310432002185,['Double Phoenix'],,['France'],"['farine de blé ', '86%', 'eau', 'oeuf ', '3%', ' sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,356,1490 kj(356 kcal),"1,7","0,2","72,1","1,4","10,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Gluten']",,,,,,
67,Obento Udon Spicy Kung Pao,9310432003663,['OBENTO'],"['Végétarien', 'en:Végétarien']",['France'],"['Noodle: Water', 'Wheat Flour ', '46%', 'Thickener ', 'Modified Tapioca Starch', 'Salt', 'Acidity Regulator ', 'Lactic Acid', ' Seasoning Sachet: Water', 'Sugar', 'Soy Sauce ', 'Water', 'Wheat', 'Soybean', 'Salt', 'Soybean Paste Water', 'Soybean', 'Salt', 'Garlic', 'Salt', 'Peanut Paste', 'Hydrolysed Soy Protein', 'Soybean Oil', 'Sesame Oil', 'Sesame Paste', 'Thickener ', 'Modified Corn Starch', 'Spices', 'Ginger', 'Acidity Regulator ', 'Citric Acid', ' Dehydrated Vegetables: Carrot', 'Bell Pepper', 'Green Onion', ' Topping: Roasted Peanuts', ' Suitable for vegetarians', ' imported by / Importé par / Importiert durch / Geïmporteerd door: 00 Oriental Merchant ', 'Europe', ' www', 'orientalmerchant', 'eu the netherlands Heksekamp 7', '5301 LX Zaltbommel Oriental Merchant _èè united kingdom Unit 11', 'Eurocourt', 'Oliver Close west Thurrock', 'Essex RM20 3EE']",['Végétarien'],?,158,661 kj(158 kcal),"3,3","0,5","26,1","5,3","4,9",2,"0,8",,,,"['Plats préparés', 'Plats à base de pâtes']",,3.3 g,en quantité modérée,0.5 g,en faible quantité,5.3 g,en quantité modérée,2 g,en quantité élevée,,-12%,-11%,-48%,-79%,+25%,+119%,-34%,+121%,+121%,6,+61%,C,+61%,,,,4,,,,,,,,"['E270 - Acide lactique', 'E330 - Acide citrique']","['Gluten', 'Soja']",,,,,,
68,Prawn Gyoza - KBs - 1kg,9315822001489,['KBs'],,"['Australie', 'France']","['Filling ', '60%', ' [', 'Vannamei Prawn', ' ', '45%', ' ', 'Litopenaeus vannamei', 'Salt', 'Mineral Salts ', '500', '331', 'White Cabbage', 'Chives', 'Soybean Oil', 'Spring Onion', 'Sesame Oil', 'Thickener ', '1442', 'Wheat Flour', 'Ginger', 'Onion', 'Soy Sauce', 'Sugar', 'Garlic', 'Salt', 'Vegetable Extract Powder', 'White Pepper]', 'Dough ', 'Wheat Flour', 'Tapioca Starch', 'Water', 'Palm Oil', 'Salt', ' This product contains certified sustainable palm oil', ' ALLERGY ADVICE CONTAINS CRUSTACEA', 'SOY', 'GLUTEN ', 'WHEAT', ' AND SESAME']",['Huile de palme'],?,222,929 kj(222 kcal),"10,5","3,1","35,9","2,5","8,5","0,413","0,165",,1 kg,"['Frozen', 'Plastic']","['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli japonais', 'en:Bouchées vapeur']",['Thailand'],10.5 g,en quantité modérée,3.1 g,en quantité modérée,2.5 g,en faible quantité,0.413 g,en quantité modérée,,+33%,+33%,+116%,+179%,+59%,-7%,+21%,-60%,-60%,1,-50%,B,-50%,,,['Woolworths'],4,,,,,,,,['E1442 - Phosphate de diamidon hydroxypropyle'],"['Gluten', 'Graines de sésame', 'Soja']",,,['Thaïlande'],,,
69,Carman's Protein Bar Dark Chocolate and Cranberry 40G,9319133332720,"[""Carman's""]",['en:gluten-free'],['France'],"['pau o 8 ə pu ingredients ', 'sulphite free fruit', ' nuts 27% ', 'peanuts', 'almonds', 'soy protein blend ', 'soy protein crisps [isolated soy protein', 'tapioca starch', 'salt', 'soy lecithin]', 'soy protein powder', 'glucose', 'seeds 11% ', 'pepitas', 'sunflower seeds', 'sesame seeds', 'honey', 'dark choc compound 9% ', 'sugar', 'vegetable oil', 'cocoa powder', 'emulsifier [sunflower lecithin}', 'salt', 'natural vanilla flavour', 'cranberries 7% ', 'cranberries', 'sugar', 'sunflower oil', 'sunflower oil', 'natural vanilla flavour', 'cinnamon', 'd contains: peanuts', 'almonds', 'soy and sesame seeds', 'may be present: milk products and other tree nuts', 'whilst every effort has been made to remove all nut shells and stones', 't store in a cool', 'dry place out of direct sunlıght,']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,451,1890 kj(451 kcal),"22,8","5,8","30,2",24,27,"0,171","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,['E322i - Lécithine'],"['Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja']",,,,,,
70,Himalayan Pink Rock Salt 200G,9339337000096,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,19","0,076",,,['pet-bottle'],"['Epicerie', 'Condiments', 'Sels', ""Sels de l'Himalaya""]",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,A,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,
71,Guacamole Classic,9346321000185,,['en:gluten-free'],"['Australie', 'France']","['avocado ', '88%', 'onion', 'tomato ', '3%', 'jalapeno', 'salt ', '1%', 'garlic ', '0', '5%', ',lime juice ', '0', '3%', 'coriander ', '0', '2%', 'antioxidant ', 'ascorbic acid', 'vegetable gum ', 'xanthan gum', 'sodium alginate']",[],737,176,737 kj(176 kcal),"14,6",3,"9,5",1,"1,8","0,497","0,199",,,,"['Epicerie', 'Sauces', 'Guacamoles']",,14.6 g,en quantité modérée,3 g,en quantité modérée,1 g,en faible quantité,0.497 g,en quantité modérée,+24%,+9%,+11%,+19%,+16%,+56%,-51%,+3%,-55%,-55%,0,-100%,B,-100%,C,,['Woolworths'],4,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,"['E300 - Acide ascorbique', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium']",,,,,,,
72,Arataki Manuka Honey Umf 10+,9414887000199,,,['France'],[],[],?,340,1423 kj(340 kcal),0,0,"82,9","82,9",1,"0,012","0,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Glaze,9416107524003,,,['France'],[],[],?,188,787 kj(188 kcal),0,0,39,39,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Jus de pomme,9421903084095,,,['France'],[],[],?,0,0 kj(0 kcal),"0,3","0,05",10,"4,45","0,15","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Mélange Fruits Tropicaux - Mainstay,9501006400098,['Mainstay'],"['Bio', 'Bio européen', 'FR-BIO-01', 'LK-BIO-149', 'AB Agriculture Biologique']",['France'],[],[],?,46,192 kj(46 kcal),0,0,10,"9,6","0,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biocoop Caluire'],,,,,,,,,,,,,,,,
76,Vegetarian yam cookies,9555118601843,,,['France'],[],[],?,368,1540 kj(368 kcal),22,10,66,24,8,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Gold Label Cookies Peanut,9556371611716,,,['France'],[],[],?,514,2151 kj(514 kcal),"25,7","0,01","60,5","20,8","11,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Gelée Nata Jacquier 236G -,9556437003738,,,['France'],[],[],?,82,343 kj(82 kcal),"0,8","0,8",18,18,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Noir dessert - Fin Carré - 200g,9647978410441,['Fin Carré'],"['Agriculture durable', 'en:UTZ Certified']",['France'],[],[],?,544,2276 kj(544 kcal),35,22,48,"45,6","4,8",0,0,,200 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,35 g,en quantité élevée,22 g,en quantité élevée,45.6 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,-11%,-5%,+24%,+44%,-37%,-100%,-100%,26,+23%,E,+23%,E,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
80,"Aloe vera jus et pulpe purs à 99,5%",3661803635126,,,['France'],[],[],?,29,121 kj(29 kcal),9,6,37,28,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Fuze tea,5449000238863,['Fuze Tea'],,['France'],[],[],?,33,138 kj(33 kcal),0,0,8,8,0,0,0,,,,"['Boissons', 'Thés glacés', 'Thés glacés saveur pêche']",,0 g,en faible quantité,0 g,en faible quantité,8 g,en quantité élevée,0 g,en faible quantité,,+43%,+42%,-100%,-100%,+43%,+48%,-100%,-100%,-100%,11,+43%,E,+43%,,,,,,,,,,,,,,,,,,,
82,Cocktail exotique,3287121025786,,,['France'],[],[],?,47,197 kj(47 kcal),0,0,"11,6","11,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Pfirsiche halbe Frucht - Del Monte,0024000148081,['Del Monte'],"['en:German Agricultural Society', 'de:DLG Jährlich Prämiert']","['France', 'Allemagne']",[],[],302,71,302 kj(71 kcal),0,0,17,14,"0,4","0,03","0,012",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pêches']",,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0.03 g,en faible quantité,+27%,+15%,+20%,-100%,-100%,+23%,+12%,-10%,+26%,+26%,-2,,A,,,,,,,,,,,,,,,,,,,,
84,TEA REDBUSH,20453879,,,['France'],[],[],?,6,25 kj(6 kcal),24,1,11,9,12,"0,1","0,04",,,['card-box'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Penny Caffe latte cappuccino,28413646,['Penny'],,"['France', 'Allemagne']",[],[],?,55,230 kj(55 kcal),"1,3","0,9","8,3","8,3","2,5","0,18","0,072",,,['Poudre'],"['Boissons', 'Boissons au café', 'en:Ready-to-drink coffee']",,1.3 g,en faible quantité,0.9 g,en quantité modérée,8.3 g,en quantité élevée,0.18 g,en quantité modérée,,-62%,-62%,-67%,-68%,-63%,-49%,-38%,-27%,-27%,14,-1%,E,-1%,,,,,,,,,,,,,,,,,,,
86,Thunfisch-Filets in Sonnenblumenöl - Saupiquet,3165950580501,['Saupiquet'],,"['France', 'Allemagne']",[],[],?,195,816 kj(195 kcal),11,"1,6",0,0,24,"1,3","0,52",,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile""]",,11 g,en quantité modérée,1.6 g,en quantité modérée,0 g,en faible quantité,1.3 g,en quantité modérée,,-18%,-18%,-31%,-37%,-100%,-100%,+3%,+26%,+26%,3,-33%,C,-33%,E,,,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,
87,Epicerie / Thé Bio Et équitable / Thé Glacé - Destination,3700111086180,['Destination'],['Bio'],['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Soupe de brocoli et noisette,3700876908901,,,['France'],[],[],?,75,314 kj(75 kcal),"5,7","1,5","3,1","0,8","1,9","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Farha,6111242190313,,,['France'],[],[],?,297,1243 kj(297 kcal),28,0,10,0,"1,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Poulet et trio de legumes,3560071171704,,['Fabriqué en France'],['France'],[],[],?,67,280 kj(67 kcal),"0,8","0,3","2,3","1,7",12,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.017.001 CE', 'Bignan (Morbihan, France)']",,,,
91,Spaghetti Ristorante N°14 Sachet 1KG - Granoro - 1kg,8007290140142,['Granoro'],,['France'],[],[],?,354,1481 kj(354 kcal),"1,5","0,5",71,3,"12,5",0,0,,1 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Boule bio,3289664242408,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],"['FARINE BIO MALICIA', 'ingrédients Farine de BLE T65 biologique', 'eau', 'sel non traité', 'levure', 'farine de mais torréfié', 'germe de blé,gluten de blé', ""extrait d'Acerola"", ' EAU', 'GROS SEL', 'LEVURE KASTALIA', 'Ingrédients Levure de panification', 'stabilisant gomme xanthane', ',']",[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,,,['E.Leclerc'],4,,,,,,,,['E415 - Gomme xanthane'],['Gluten'],,,,,,
93,Muffin cacaoté,3560071164607,,['Fabriqué en France'],['France'],[],[],?,388,1623 kj(388 kcal),18,"3,5",50,31,"5,6","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 02810A', 'Villers-Cotterêts (Aisne, France)']",,,,
94,Chilli Sauce - Go tan,8710605030280,['Go tan'],,"['France', 'Pays-Bas']",[],[],?,196,820 kj(196 kcal),"0,1","0,02","48,6","45,8","0,1","1,7","0,68",,,['Bottle'],"['Epicerie', 'Sauces']",,0.1 g,en faible quantité,0.02 g,en faible quantité,45.8 g,en quantité élevée,1.7 g,en quantité élevée,,-18%,-17%,-99%,-99%,+390%,+609%,-96%,-30%,-30%,19,+64%,E,+64%,,,,,,,,,,,,,,,,,,,
95,Les figounettes,3526590000338,,,['France'],[],[],?,483,2021 kj(483 kcal),"18,7","3,6","63,8","25,9","7,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Creme multi usages - En Cuisine,3560070323685,['En Cuisine'],,['France'],[],[],?,326,1364 kj(326 kcal),34,21,"3,1","3,1",2,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Crunchy Coleslaw Kit - Morrisons,5010251881315,['Morrisons'],,"['France', 'Royaume-Uni']","['carrot', 'white cabbage', 'red cabbage', 'mayonnai: oil', 'water', 'pasteurised liquid egg yolk', 'spirit vine from concentrate', 'salt', 'sugar', 'mustard flour', 'r !allergy advice for allergens see ingredients in bold', ' ! warning']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,607,2540 kj(607 kcal),"14,1","1,4",2,2,"0,7","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Ramy Orange Mangue,6132502910557,,,['France'],[],[],?,53,222 kj(53 kcal),0,0,"12,5","12,5","0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Fruit & Crok - Noberasco,80180050,['Noberasco'],,['France'],[],[],?,371,1552 kj(371 kcal),"3,1","0,8",76,62,"3,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Cake au chocolat,3663219003230,,,['France'],[],[],?,385,1611 kj(385 kcal),20,"6,1",44,28,"6,3","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 56126A', 'Marzan (Morbihan, France)']",,,,
101,Chicoree 500G Lestarquit - 500g,3067140171028,['Lestarquit'],,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,500 g,['Sachet plastique'],['Chicorées'],"['Entreprise Leroux', 'Orchies', 'Nord']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Liant pour sauces,27052136,,,['France'],[],[],?,360,1506 kj(360 kcal),"0,5",0,89,0,"0,6","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Bavarois Alaska-express Framboise - Ancel - 200g,3027030003228,"['Ancel', 'Condifa']",,['France'],[],[],1563,368,1563 kj(368 kcal),"0,2",0,81,76,"9,1","0,1","0,04","Préparation à froid en poudre pour mousse bavaroise à la framboise, aromatisée, sur base gélatine bovine",200 g,"['Sachet', 'Plastique']","['Aides culinaires', 'Préparations pour desserts']",,,,,,,,,,+4%,+12%,+13%,-97%,-100%,+44%,+151%,+84%,-76%,-76%,,,,,,,['Cerf-Dellier'],,,,,,,,,,,,,,,,
104,Olio extravergine di oliva,8019514024374,,,['France'],[],[],?,824,3448 kj(824 kcal),92,14,0,0,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-4%,-4%,-4%,0%,,,,-100%,-100%,6,-2%,C,-2%,D,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
105,Filegro Hausmachert Art - iglo - 250g,4250241203777,['Iglo'],"['Pêche durable', 'Pêche durable MSC']","['France', 'Allemagne']","['Alaska Seelachs-Filet ', '63%', 'Paniermehl ', 'Weizenmehl', 'Hefe', 'Zucker', 'Traubenzucker', 'Weizengluten', 'Salz', 'Paprikapulver', 'Rapsöl', 'Weizenmehl', 'Wasser', 'Salz', 'Hühnervolleipulver', 'Backpulver ', 'Säuerungsmittel: Diphosphate', 'Backtriebmittel: Natriumcarbonate', 'Weizenstärke']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",906,?,906 kj(217 kcal),11,"0,9",16,"0,6",13,"1,3","0,52",,250 g,['stück'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés']",,11 g,en quantité modérée,0.9 g,en faible quantité,0.6 g,en faible quantité,1.3 g,en quantité modérée,+94%,,+88%,+196%,+21%,+572%,+53%,-22%,+198%,+198%,2,,B,,,https://www.iglo.de/sortiment/fisch/filegro/filegro-hausmacher-art#1,,4,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Œufs', 'Poisson', 'Gluten']",,,,,,
