,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,ingredients_origins,manufacturing,traceability_code,nova_score,labels,allergens,markets,additives,palm_ingredients,link,generic_name
1198,Les aubergines cuisinées et haché - Maison Rivière,3375644008635,['France'],[],[],?,132,552 kj(132 kcal),"9,4","1,2","7,8",4,"3,1","0,9","0,36",,,,,,,,,,,,,,,,['Maison Rivière'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Soupe de poissons au piment d'espelette - La Table d'Amatxi,3700857600701,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,E,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons', ""Soupe de poissons au piment d'Espelette""]",,-100%,,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,"[""La Table d'Amatxi""]",,,,,,,0 g,en faible quantité,-100%,,,-100%,-100%,,,,,,,,,,,,,,,,
1200,Assassin’s creed Odyssey,3307216073406,['France'],[],[],?,375,1569 kj(375 kcal),"1,5","0,6",79,14,"8,2","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Sirop de Pêche jaune,3376370157291,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Confit de Manchons de canard du Sud-Ouest,3272931000184,['France'],[],[],?,378,1582 kj(378 kcal),33,13,0,0,20,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Crevette decortiquees,3760070016550,['France'],[],[],?,78,326 kj(78 kcal),"0,7","0,1","0,5","0,5",18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Filets de poulets cuits grilles,2988790014187,['France'],[],[],?,110,460 kj(110 kcal),"1,3","0,6","4,5","1,6",20,"1,6","0,64",D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-16%,-55%,+839%,-12%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,1.3 g,en faible quantité,0.6 g,en faible quantité,1.6 g,en faible quantité,1.6 g,en quantité élevée,-15%,-20%,+558%,+113%,+113%,3,,C,,,,,,,,,,,,,
1205,Caramel au beurre salé,3760214180321,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Einstök Icelandic Winter Ale - Einstök Beer - 33cl,0856222006371,['France'],"['Eau', ""malt d'orge"", 'houblons', ' Levure', ""pointes d'épicéa"", ' Contient du gluten']",[],?,?,,?,,?,,?,,,B,33 cl,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières brunes', ""Bières d'hiver"", 'Bières islandaises']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,"['Einstök Beer', 'Einstök Ölgerō']",,,,,,,,,,,,,,,,,,"['Bouteille', 'Verre', 'Capsule', 'métal']",['Islande'],"['Akureyri', 'Islande']",,3,['Déconseillé aux femmes enceintes'],['Gluten'],,,,https://einstokbeer.com/our-brews/icelandic-winter-ale/,Bière islandaise brune de saison
1207,Rib 's provençal cuit vpf,2443432050058,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
