,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,brand,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,brand_owner,additives,allergens,nova_score,generic_name,ingredients_origins,manufacturing,link
1835,Saucisse de porc au basilic,0202151033986,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,Lely rosé,3231230218713,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,Sauce pesto alla genovese,8001660373109,['France'],[],[],?,371,1552 kj(371 kcal),37,"4,8","6,1","1,6","2,6","2,5",1,C,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,37 g,en quantité élevée,4.8 g,en quantité modérée,1.6 g,en faible quantité,2.5 g,en quantité élevée,,-17%,-17%,-16%,-26%,+3%,-30%,-45%,+1%,+1%,18,-8%,D,-8%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,
1838,Guimauve,3701115820084,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,Jambon de Paris,2959330001042,['France'],[],[],?,124,519 kj(124 kcal),37,"1,8","0,7","0,7",22,"1,9","0,76",E,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",,,37 g,en quantité élevée,1.8 g,en quantité modérée,0.7 g,en faible quantité,1.9 g,en quantité élevée,,-6%,-5%,+671%,-2%,+5%,+18%,+4%,+2%,+2%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['FR 95.018.022 CE', ""Argenteuil (Val-d'Oise, France)"", 'EMB 95018', ""Argenteuil (Val-d'Oise, France)""]",,,,,,,,
1840,Sucre mascobado,8000837031217,['France'],[],[],?,389,1628 kj(389 kcal),0,0,97,97,"0,2",0,0,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'IT-BIO-003']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,Geitenkaas,2302863904227,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,Turrón chocolate con avellanas - El Artesano,8412080025286,['France'],[],[],?,580,2427 kj(580 kcal),42,37,34,34,9,0,0,E,,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Turrón de chocolat']",,,42 g,en quantité élevée,37 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,,+6%,+6%,+17%,+162%,-24%,-13%,+3%,-100%,-100%,24,+3%,E,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,
1843,Bread,2298730001109,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bag'],,,,,,,,,
1844,Terre de vignoble bio,3455099450125,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
