,name,bar_code,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,allergens,nova_score,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,markets,manufacturing,generic_name,additives,link,origin_detail
1211,Chocolate Orange Easter Egg - Terry’s,3664346327473,,['France'],[],[],?,524,29,59,"5,8",2192 kj(524 kcal),17,59,,,['Terry’s'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Fromage Délice de Bourgogne Lait Pasteurisé Vache,0203649009711,,['France'],[],[],?,408,40,2,10,1707 kj(408 kcal),"28,8","0,4",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Jambon label rouge DD,0212503032604,,['France'],[],[],?,110,"2,4","0,6","21,5",460 kj(110 kcal),"0,9","0,6",2,"0,8",,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Lasagnes aux oeufs au blé semi-complet,3760121215864,,['France'],[],[],?,276,"2,6",50,11,1155 kj(276 kcal),"0,6","3,3",,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Pave de saumon nature,0015869005134,,['France'],[],[],?,202,"13,4","0,1","20,4",845 kj(202 kcal),"3,1","0,1","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Panne de riz complet au tournesol - Pural,3184340065077,,['France'],[],[],?,57.333333333333,"1,04","9,333","1,813",240 kj(57 kcal),"0,133","0,24","0,667","0,267",['Pural'],['Sans gluten'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,P.W.O.,3662072027551,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Carrottes rapees,0233621007022,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Olives lucques,3760141252924,,['France'],[],[],?,176,18,"0,5","1,1",736 kj(176 kcal),"2,9","0,2","3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Terrine de campagne,3760204107130,,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Muffin alla mela - Giusto,8032758704444,,['France'],[],[],?,396,21,48,"3,5",1657 kj(396 kcal),"2,6",20,"0,1","0,04",['Giusto'],"['Sans gluten', 'Sans huile de palme']",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",21 g,en quantité élevée,2.6 g,en quantité modérée,20 g,en quantité élevée,,+7%,+7%,+21%,-3%,-0%,-23%,-29%,,,,,,,,,,,,0.1 g,en faible quantité,-85%,-85%,8,-41%,C,-41%,,,,,,,
1222,Pâté de campagne supérieur,2653868018045,"['FR 71.076.001 CE', 'Chalon-sur-Saône (Saône-et-Loire, France)']",['France'],[],[],?,285,"23,3","0,4","71,7",1192 kj(285 kcal),"9,1","0,4","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Saccarosio Di Canna Ast KG 1,3220035216000,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Miel de montagne de l’ain,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,nouilles instantanés,9555022799070,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Cici jelly drink,6926475201497,,['France'],[],[],?,74,0,"18,1",0,310 kj(74 kcal),0,17,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
