,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,packaging,traceability_code,allergens,nova_score,markets,generic_name,ingredients_origins,manufacturing,additives,brand_owner,link,palm_ingredients
1560,Pain aux céréales,0222091008332,['France'],[],[],?,258,1079 kj(258 kcal),"4,3","0,6",42,"1,3",10,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Filets de poulet Roti,3700524789005,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,4","0,6","0,6","22,3","1,26","0,504",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,-3%,+2%,+4%,-6%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,5.5 g,en quantité modérée,1.4 g,en faible quantité,0.6 g,en faible quantité,1.26 g,en quantité modérée,-3%,+3%,+39%,-6%,-6%,2,-22%,B,-22%,,,,,,,,,,,,,,
1562,Carottes Délices Des Champs 2 kg,3000029047540,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Empire des songes,3363795000028,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Morceaux choisis de Poulet Paprika - Maître Coq,0215970029122,['France'],[],[],?,112,469 kj(112 kcal),"1,4","0,4","1,9","0,8",23,"0,77","0,308",,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,,,,,,,,"['Viande Française', 'Volaille-francaise']",,,,,,,,,,,,
1565,Dés de jambon,2248972009777,['France'],[],[],?,528,2209 kj(528 kcal),"4,4","1,6","0,5",0,21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
1566,Pain aux cereales demi long,0216422006890,['France'],[],[],?,236,987 kj(236 kcal),"2,9","0,6","41,2","1,3","8,8","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Pain a la creme patissiere,0209385016402,['France'],[],[],?,299,1251 kj(299 kcal),14,9,38,12,"5,2","0,98","0,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,Barres chocolat et graines de chia - Dukan,3760151013751,['France'],[],[],?,379,1586 kj(379 kcal),15,"3,7",43,"0,7",26,"0,66","0,264",,,,,,,,,,,,,,,['Dukan'],,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,
1569,farine epautre campagne type 80 - Moulin des moines,3347430006705,['France'],[],[],?,354,1481 kj(354 kcal),"1,9","0,25","69,4","2,2","12,8","0,01","0,004",,,,,,,,,,,,,,,['Moulin des moines'],,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
