,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,traceability_code,markets,generic_name,link,palm_ingredients
259,Galettes Au Sarrasin - Celte Et Nature,3760099510510,,,,['Celte Et Nature'],,,['France'],"['Farine de sarrasin 50%', 'sucre', 'matières grasses végétales non hydrogénées', 'Oeufs entiers frais', 'poudre à lever ', 'pyrophosphate et bicarbonate de sodium', ""bicarbonate d'ammonium"", 'sel', ' Peut contenir des traces de blé', 'oeufs', 'lait', ' amandes noix de coco', 'soja']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium""]",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,518,,2167 kj(518 kcal),,"21,5",,"10,1",,"75,6",,26,,"5,7",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,
260,Pâte Vermicelles Riz et Pois Chiches - 250g,3760099510602,,250 g,['Sachet plastique'],,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],,,[],,,,,,,,,,?,,362,,1515 kj(362 kcal),,"3,69",,"0,56",,71,,3,,11,,0,,0,,,,,,,,,,,,,,,,,,,
261,Madeleines celtes bio aux 2 epeautres - Celte et Nature - 150g,3760099510886,B,150 g,,['Celte et Nature'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']","['Bio', 'Bio européen']",['France'],[],,,[],,18 g,en quantité modérée,2.5 g,en quantité modérée,32 g,en quantité élevée,0.88 g,en quantité modérée,?,,440,-0%,1841 kj(440 kcal),+0%,18,-21%,"2,5",-64%,60,+14%,32,+16%,8,+41%,"0,88",+9%,"0,352",+9%,16,-13%,D,-13%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,
262,Mafaldine pâtes de qualité supérieure,3760099517052,,,,,,['Bio'],['France'],[],,,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,2,,"0,15",,72,,0,,12,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
263,Gnocchi romana,3760099517076,,,,,,,['France'],[],,,[],,,,,,,,,,?,,354,,1481 kj(354 kcal),,2,,"0,15",,72,,0,,12,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
264,Mini macaroni sarrasin,3760099517090,,,,,,"['Bio', 'Bio européen', 'Point Vert']",['France'],[],,,[],,,,,,,,,,?,,335,,1402 kj(335 kcal),,"3,1",,"0,68",,70,,"2,6",,12,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
265,CEREALES TROPICAL BOMB PULPE BAOBAB SS GLUTEN - Tiboom,3760099519018,,,,['Tiboom'],,,['France'],[],,,[],,,,,,,,,,?,,498,,2084 kj(498 kcal),,?,,17,,?,,"30,1",,"9,6",,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,
266,Galette Zen Attitude Algues Nori Figue Sésame - Tiboom,3760099519049,E,,,['Tiboom'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', 'Algues nori']","['Bio', 'en:gluten-free', 'Agriculture UE/Non UE']",['France'],"['Figue', 'graines de tournesols', 'sésame', 'sirop de riz', 'pruneaux', 'algue nori', 'extrait de thé ', 'acide ascorbique']",,['Graines de sésame'],[],1,35.3 g,en quantité élevée,10.6 g,en quantité élevée,27 g,en quantité élevée,0.12 g,en faible quantité,?,,519,+75%,2171 kj(519 kcal),+71%,"35,3",+531%,"10,6",+2068%,32,+63%,27,+5847%,14,-53%,"0,12",-94%,"0,048",-94%,16,+112%,D,+112%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,
267,FORCE ROUGE,3760099519056,,,,,,"['Bio', 'Agriculture UE/Non UE']",['France'],[],,,[],,,,,,,,,,?,,465,,1946 kj(465 kcal),,27,,8,,42,,"12,6",,10,,"0,09",,"0,036",,,,,,,,,,,,,,,,,,,
268,Cereales Mulberries Moon Sans Gluten 30G,3760099519087,,,,,,"['Bio', 'Agriculture UE/Non UE']",['France'],[],,,[],,,,,,,,,,?,,456,,1908 kj(456 kcal),,"24,4",,"2,5",,"43,8",,"39,7",,10,,0,,0,,,,,,,,,,,,,,,,,,,
269,Super Mix - Tiboom,3760099519100,,,,['Tiboom'],,"['Bio', 'en:gluten-free']",['France'],"['Graines de graines de tomates séchées* I graines e CERTFiEPAR} chia pal Ue paprika fumé* ', ""d'origine controlée Espagne"", ' ', '1,7%', ""huile d'olive*"", 'betterave"" origan* ingrédients issus de l\'agriculture biologique']",,,[],,,,,,,,,,?,,513,,2146 kj(513 kcal),,33,,"4,9",,28,,"4,7",,20,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
270,Wakanoix,3760099519117,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,578,,2418 kj(578 kcal),,53,,"5,1",,"22,2",,"14,5",,"12,7",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
271,Super mix saveur indienne,3760099519162,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique']",['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,483,,2021 kj(483 kcal),,29,,"3,8",,29,,"1,78",,"12,8",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
272,Pesto de coriandre,3760099519650,,,,,,['Bio'],['France'],[],,,[],,,,,,,,,,?,,517,,2163 kj(517 kcal),,"54,8",,"6,8",,"1,6",,"0,5",,"3,5",,1,,"0,4",,,,,,,,,,,,,,,,,,,
273,Gelée de fleurs de sureau gingembre,3760099519674,,,,,,"['Bio', 'Bio européen']",['France'],[],,,[],,,,,,,,,,?,,132,,552 kj(132 kcal),,"0,25",,"0,05",,33,,"27,5",,"0,25",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
274,Noix De Cajou 125G,3760099530150,E,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['Point Vert'],['France'],[],,,[],,50 g,en quantité élevée,12 g,en quantité élevée,22 g,en quantité élevée,0.05 g,en faible quantité,?,,640,+7%,2678 kj(640 kcal),+7%,50,+8%,12,+41%,30,+17%,22,+239%,17,-9%,"0,05",-92%,"0,02",-92%,11,+45%,D,+45%,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,"['EMB 18242', 'Sancoins (Cher, France)']",,,,
275,Ananas Seche En Tranche - Secrets d'Energie - 125g,3760099530181,,125 g,,"[""Secrets d'Energie""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Ananas séchés']",,['France'],[],,,[],,0 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,0 g,en faible quantité,?,,220,-33%,920 kj(220 kcal),-33%,0,-100%,0,-100%,52,-30%,44,-29%,2,+74%,0,-100%,0,-100%,5,-26%,C,-26%,,,,,,,,,['Sri Lanka'],"['EMB 04112', 'Manosque (Alpes-de-Haute-Provence, France)']",,,,
276,Mirabelles Sachet - Secrets d Energie,3760099531034,,,,['Secrets d Energie'],,['Bio'],['France'],"[""mirabelles'"", ""Ingrédients issus de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,214,,895 kj(214 kcal),,"0,4",,"0,1",,"46,8",,"30,9",,"1,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
277,Amandes Grillees Salees 125G - Secrets d'énergie,3760099531072,E,,,"[""Secrets d'énergie""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes', 'Amandes grillées']",['Bio'],['France'],[],,,[],,52.9 g,en quantité élevée,5 g,en quantité modérée,6.2 g,en quantité modérée,1 g,en quantité modérée,?,,621,-1%,2598 kj(621 kcal),-1%,"52,9",+1%,5,+14%,"6,6",-48%,"6,2",+10%,"12,7",-42%,1,+18%,"0,4",+18%,6,+40%,C,+40%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,
278,Dattes Deglet Nour Fruits Séchés Bio - Secrets d'énergie,3760099531157,C,,,"[""Secrets d'énergie""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['dattes*', "" * Ingrédients issus de l'agriculture biologique"", "" C'est aux portes du désert"", ""dans l'Est tunisien que pousse cette datte Deglet Nour à la chair ambrée et fondante""]",,,[],,0.4 g,en faible quantité,0.4 g,en faible quantité,41.3 g,en quantité élevée,0 g,en faible quantité,?,,296,-1%,1238 kj(296 kcal),-1%,"0,4",+41%,"0,4",+708%,"66,3",-4%,"41,3",-30%,"2,6",+20%,0,-100%,0,-100%,1,-80%,B,-80%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,
279,Graines De Courge Sachet - Secrets d’Énergie,3760099531447,,,,['Secrets d’Énergie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",['Bio'],['France'],"[""graines de courge* a *ingrédients issus de l'agriculture Bi 'o/ogìque"", "" '8242 Conditionné dans un qui c es céréales contenant du gluten"", 'do la moutarcetdes graines de sésame et des fruits à coques,Peut contenir des traces de soja', 'A déguster en apéritif', 'en salades ou à intégrer dans la contecton de pains multigraineS', ' Conditionné pour la S', 'A', 'S Allée Amelin Si 370 CHAMP:GNY A consommer de pt&érence avant le /N000t: / 170608 Juin de conservation: Ouverture', ' à conserver T ùn endroit frais et sec Valeurs nutritionnei:es moyennes pour 100g: / 657 Kca matt?5rea 43 a dont acides g', ' glucides : 13 g dont sucres : 1 g', ': 3', '9 gt protéines - 24,5 g,sel : 0,05g']",,"['Gluten', 'Fruits à coque']",[],,43.9 g,en quantité élevée,8.7 g,en quantité élevée,1 g,en faible quantité,0.1 g,en faible quantité,?,,557,-2%,2330 kj(557 kcal),-2%,"43,9",-1%,"8,7",+15%,"13,9",+71%,1,-15%,"24,5",-18%,"0,1",-81%,"0,04",-81%,10,-6%,C,-6%,,,,,,,,,,,,,,
280,Pérail bio de brebis - Lait plaisirs - 150g,3760099532123,,150 g,,['Lait plaisirs'],,['Bio'],['France'],"['Lait de brebis pasteurisé*', 'sel', 'présure', 'ferments lactiques', "" *Ingrédients issus de l'agriculture biologique""]",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,,?,,264,,1105 kj(264 kcal),,20,,"14,3",,"2,3",,"0,63",,"15,5",,"1,3",,"0,52",,,,,,,,,,,,,,,"['FR 47.185.035 CE', 'Montayral (Lot-et-Garonne, France)']",,,,
281,Gambas Decort Cuites Natures 40-60 - Deluces D'O,3760099532246,,,,"[""Deluces D'O""]",,['Bio'],['France'],"[""Crevettes d'élevage "", 'penseuse vanname', ' dEquateur cuites décortiquées', 'sel', 'ferment lactique ', 'LAIT', "" Produits issus de l'agriculture biologique Traces éventuelles de mollusques""]",,['Lait'],['Non végétalien'],,,,,,,,,,?,,92,,385 kj(92 kcal),,"1,1",,0,,0,,0,,"20,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
282,Gambas Decort Sesame-basilic 40-60 - Délices D'o,3760099532253,D,,,"[""Délices D'o""]","['Produits de la mer', 'Crustacés', 'Crevettes']",['Bio'],['France'],"[""GAMBAS CUITES DECORTIQUEES MARINEES AU SESAME ET BASILIC BIO Ingrédients CREVETTES• 93% d'elevage "", 'Penaeus vannamei', "" d'Equateur cuites decortiquées"", 'huile de tournesol Infusée au basilic• 6 % sel', 'graines de SESAME complet • 0 9% ferment lactique ', 'LAIT']",,"['Crustacés', 'Lait', 'Graines de sésame']","['Non végétalien', 'Non végétarien']",,2.9 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,?,,108,+2%,452 kj(108 kcal),+3%,"2,9",+32%,"0,3",-35%,0,-100%,0,-100%,"20,1",+10%,"1,5",+2%,"0,6",+2%,2,-20%,B,-20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,"['FR 44.109.206 CE', 'Nantes (Loire-Atlantique, France)']",,,,
283,Yaourt Brebis Sirop D Erable 2X125G - Lait Plaisirs - 2x 125g,3760099532611,,2 x 125 g,,['Lait Plaisirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis', ""Yaourts au sirop d'érable""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'en:Lait-francais-french-milk']",['France'],[],,,[],,6.7 g,en quantité modérée,4.2 g,en quantité modérée,8 g,en quantité modérée,0.1 g,en faible quantité,?,,116,+10%,485 kj(116 kcal),+10%,"6,7",+31%,"4,2",+26%,"8,9",-6%,8,-1%,"5,1",+5%,"0,1",-7%,"0,04",-7%,3,+16%,C,+16%,,,,,,,,,,,,,,
284,Noix du Perigord APP BIO,3760099532680,,,,,,['Bio'],['France'],[],,,[],,,,,,,,,,?,,674,,2820 kj(674 kcal),,64,,6,,11,,"3,4",,15,,"0,01",,"0,004",,,,,,,,,,,,,,,"['EMB 24091A', 'Cénac-et-Saint-Julien (Dordogne, France)']",,,,
285,AMANDES DECORTIQUEES - Secrets d energie,3760099532727,E,,,['Secrets d energie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['Amandes', "" Issues de l'agriculture biologique""]",,"['Fruits à coque', 'Graines de sésame']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1,55.6 g,en quantité élevée,6.1 g,en quantité élevée,4.7 g,en faible quantité,0.05 g,en faible quantité,?,,624,-0%,2611 kj(624 kcal),-0%,"55,6",+8%,"6,1",+52%,"5,1",-61%,"4,7",+20%,"26,9",+20%,"0,05",+114%,"0,02",+114%,-1,,A,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,"['EMB 18242', 'Sancoins (Cher, France)']",,,,
286,Epicerie / Fruits Secs Et Purées / Fruits Séchés Bio - Secrets d'énergie,3760099532734,,,,"[""Secrets d'énergie""]",,['Bio'],['France'],"[""figues* Ingrédients issus de l'agriculture biologique"", ' Conditionné dans un atelier qul utilise deg fruits à coques', 'des céréales contenant du gluten', 'Peut contenir des traces de soja', 'lait', 'arachide', ' Les fa']",,['Gluten'],[],,,,,,,,,,?,,249,,1042 kj(249 kcal),,1,,"0,23",,64,,48,,3,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,
287,Noisettes décortiquées,3760099532741,,,,,,,['France'],[],,,[],,,,,,,,,,?,,628,,2628 kj(628 kcal),,61,,"4,5",,17,,"4,3",,15,,,,,,,,,,,,,,,,,,,,,,,
288,NOIX DE CAJOU - Secrets d energie,3760099532758,D,,,['Secrets d energie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,,[],,,,12 g,en quantité élevée,22 g,en quantité élevée,0.05 g,en faible quantité,?,,640,+7%,2678 kj(640 kcal),+7%,?,,12,+41%,?,,22,+239%,16,-14%,"0,05",-92%,"0,02",-92%,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,
289,Goji - Secret D’energies,3760099532840,,,,['Secret D’energies'],,['Bio'],['France'],[],,,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
290,Fruits Séchés Bio - Secrets d energie,3760099532949,,,,['Secrets d energie'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],,,[],,,,,,,,,,?,,280,,1172 kj(280 kcal),,"0,01",,"0,01",,"69,4",,"64,2",,"1,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,
291,Neufchatel Aop Fermier Au Lait Crue - Lait plaisirs,3760099533090,D,,,['Lait plaisirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Neufchâtel']",['Bio'],['France'],"['Pâte au lait cru issu de ///,$ lait et à croûte fleurie', "" ngrédient issu de l'agriculture biologique"", ' sel', 'Penici//ium', 'présure animale', 'fermentsuqUeS']",,,"['Non végétalien', 'Non végétarien']",,21.7 g,en quantité élevée,12.7 g,en quantité élevée,0.6 g,en faible quantité,1.6 g,en quantité élevée,?,,275,-5%,1151 kj(275 kcal),-6%,"21,7",-11%,"12,7",-23%,"0,6",-7%,"0,6",+38%,"19,3",+3%,"1,6",-11%,"0,64",-11%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,
292,Frais & Primeur / Crèmerie / Fromages Bio - Lait plaisirs,3760099533519,,,,['Lait plaisirs'],,['Bio'],['France'],"[""TRADITIONNEL lait cru entier de chèvre' 944 France"", 'sel', 'ferments', 'colorant charbon végétal issu de I agr:cutture bio!opictea : kJ Grasses dont g', 'glucides dont s protenes 18 g', 'scl p', ' HO lot / I consommer de preférence avant le : voir sur le côte', ' I conserver entre +4 oc et •8 cc', "" fabriqué oar Cloche d'On 37260 Pont de Buan I pour VillFRAlS Altée Jean-Marie Amehn 51370 CHAMPIGNY Poids net""]",,,[],,,,,,,,,,?,,274,,1146 kj(274 kcal),,27,,22,,17,,"1,1",,18,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
293,Camembert de Normandie - Lait Plaisirs - 250g,3760099533663,C,250 g,,['Lait Plaisirs'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages au lait cru', 'Camemberts au lait cru', 'Camemberts de Normandie']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'AOP']",['France'],"['lait cru partiellement écrémé* 98 %', 'sel', 'présure animale', 'ferments lactiques', "" Ingrédient issu de l'agriculture' biologique""]",,['Lait'],"['Non végétalien', 'Non végétarien']",3,20 g,en quantité modérée,13.7 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,312,+12%,1305 kj(312 kcal),+12%,20,-7%,"13,7",-6%,"0,5",-3%,"0,5",+49%,20,-4%,2,+18%,"0,8",+18%,16,+7%,D,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 61.091.011 CE', 'Champsecret (Orne, France)']",,,,
294,Moules Cuites Decortiquees Cal 200-300 400G - 400g,3760099533724,,400 g,,,,['Bio'],['France'],[],,,[],,,,,,,,,,?,,92,,385 kj(92 kcal),,"1,6",,"0,3",,"1,9",,0,,"17,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,
295,Panes De Lupin - VG,3760099533908,,,,['VG'],,"['Bio', 'Végétarien', 'Végétalien']",['France'],"['graines de lupin doux* 40 %', 'eau', 'gluten de blé*', 'huile de tournesol*', 'panure* 5 % ', 'farine de blé*', 'sel', 'paprika*', 'levure', 'macération de lupin* ', 'eau', 'graines de lupin doux*', 'sel marin', 'légumes* ', 'oignon*', 'céleri*', 'carotte*', 'poireau*', 'tomate*', 'panais', 'épices* ', 'poivre*', 'coriandre*', 'gingembre*', 'macis*', 'cardamome*', 'livèche*', 'romarin', ""sirop de glucose* * Ingrédients issus de l'agriculture biologique""]",,"['Céleri', 'Gluten']","['Végétalien', 'Végétarien']",4,,,,,,,,,?,,331,,1385 kj(331 kcal),,"22,1",,"2,6",,11,,"0,9",,22,,"2,5",,1,,,,,,,,,,,,,,,,,,,
296,Filets nature au lupin - Vegetal Gourmand - 200g,3760099533915,,200 g,['Frais'],['Vegetal Gourmand'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Steaks végétaux']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'DE-ÖKO-001', 'Agriculture UE/Non UE']",['France'],"['Spécialité végétale à base de graines de lupin', ' Modification de la recette en 2017: ingrédients graines de lupin doux cuites 30 %', 'eau', 'farine de riz', 'huile de tournesol*', ' amidon de pommes de terre', 'légumes* ', 'oignon*', 'ail*', 'carotte*', 'tomate*', 'panais*', 'sel marin', 'épices*', 'poudre de cèpes*', 'herbes*\rAncienne version ', 'plus protéinée: 25,4%', ': Ingrédients graines de lupin doux* cuites 40 %', 'eau', 'gluten de blé*', 'huile de tournesol*', 'macération de lupin* ', 'eau', 'graines de lupin doux*', 'sel marin', 'légumes* ', 'oignon*', 'céleri*', 'carotte*', 'poireau*', 'tomate*J panais', 'amidon de blé*', 'épices* marjolaine* ', 'thym* ', 'ail* ', 'origan*', 'poivre* ', 'coriandre* ', 'gingembre* ', 'macis* ', 'cardamome*', 'livèche*', 'romarin*', 'sel marin', ""sirop de glucose* Ingrédients issus de I' agriculture biologique,""]",,"['Céleri', 'Gluten']","['Végétalien', 'Végétarien']",4,13 g,en quantité modérée,1.5 g,en quantité modérée,1 g,en faible quantité,,,?,,254,+24%,1063 kj(254 kcal),+25%,13,+46%,"1,5",+3%,24,+42%,1,-58%,"9,6",-9%,,,,,,,,,,,,,,,,['Allemagne'],['Non Union Européenne'],,['Les nouveaux robinson'],Filets nature,http://www.vegetalgourmand.fr,
297,BURGERS DE LUPIN - Vegetal Gourmand,3760099533922,,,,['Vegetal Gourmand'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique']",['France'],[],,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,173,,724 kj(173 kcal),,?,,"0,6",,?,,"4,6",,"8,6",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
298,Terrinade De Lupin Nature - Vegetalia,3760099533953,,,,['Vegetalia'],,"['Bio', 'Végétarien', 'Végétalien']",['France'],"['graines de lupin doux cuites* 36 eau', 'huile de truresot?', 'oignons', 'sirop de blé*', ""amidon de pomme de terre'"", 'sel mar n', ""persij?j curcuma'"", ""poivre noir*l correcteur d'acidité : acide 'troue"", ""gngembre? ? de l'agriculture biologique"", 'Cucmtfjnné sous atmosphère protectrice,']",,,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,236,,987 kj(236 kcal),,"16,6",,2,,"14,2",,"6,6",,"6,3",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,
299,Jambon Cuit Supérieur Bio avec Couenne - Bonval - 180g,3760099534141,C,180 g,"['Frais', 'Plastique']",['Bonval'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'FR-BIO-10', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France', 'Qualité supérieure', 'AB Agriculture Biologique', 'Fabrication artisanale', 'Viande-francaise', 'Agriculture France']",['France'],"['Jambon de porc ', 'origine France', ' avec couenne*', 'saumure*', 'eau', 'sel', 'dextrose de maïs*', 'antioxydant : ascorbate de sodium', 'plantes aromatiques*', 'épices*', 'conservateur : nitrite de sodium', "" *Ingrédients issus de l'agriculture biologique""]","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3 g,en quantité modérée,0.9 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en quantité élevée,?,,114,-14%,477 kj(114 kcal),-13%,3,-38%,"0,9",-51%,"0,6",-10%,"0,4",-33%,21,-0%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],['France'],"['FR 56.033.008 CE', 'Carentoir (Morbihan, France)']",,,,
300,Jambon Cuit Supérieur Bio avec Couenne - Bonval - 180g,3760099534141,C,180 g,"['Frais', 'Plastique']",['Bonval'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Bio', 'Bio européen', 'FR-BIO-10', 'Viande Porcine Française', 'Point Vert', 'Fabriqué en France', 'Qualité supérieure', 'AB Agriculture Biologique', 'Fabrication artisanale', 'Viande-francaise', 'Agriculture France']",['France'],"['Jambon de porc ', 'origine France', ' avec couenne*', 'saumure*', 'eau', 'sel', 'dextrose de maïs*', 'antioxydant : ascorbate de sodium', 'plantes aromatiques*', 'épices*', 'conservateur : nitrite de sodium', "" *Ingrédients issus de l'agriculture biologique""]","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3 g,en quantité modérée,0.9 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en quantité élevée,?,,114,-14%,477 kj(114 kcal),-13%,3,-38%,"0,9",-51%,"0,6",-10%,"0,4",-33%,21,-0%,"1,8",-4%,"0,72",-4%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,['France'],['France'],"['FR 56.033.008 CE', 'Carentoir (Morbihan, France)']",,,,
