,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,brand,allergens,nova_score,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,markets,additives,brand_owner,link,ingredients_origins,palm_ingredients
653,Mozzarella di bufala,8056736560136,,['France'],[],[],?,278,1163 kj(278 kcal),23,"17,8","0,8","0,7","17,4",,,,"0,5","0,2",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,23 g,en quantité élevée,17.8 g,en quantité élevée,0.7 g,en faible quantité,0.5 g,en quantité modérée,,+4%,+4%,-0%,+13%,+8%,+14%,+21%,-18%,-18%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
654,Crème de vinaigre balsamique de Modène à la truffe noire - Villa Modena,8056737110194,,['France'],"['moût de raisin concentré', 'Aceto Balsamico di Modena IGP 39% ', ' vinaigre de vin', 'moût de raisin cuit', ""colorant: caramel au sulfite d'ammonium"", 'amidon de mais modifié', 'truffe déshydratée 1%', 'arôme', ' Contient des sulfites']",[],?,187,782 kj(187 kcal),"< 0,5","< 0,1",70,60,"< 0,5",['Villa Modena'],['Anhydride sulfureux et sulfites'],4,"0,102","0,041",,,"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,0.5 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,0.102 g,en faible quantité,,-12%,-12%,+1169%,+785%,+40%,+43%,-25%,-20%,-20%,12,+10%,D,+10%,,,,,,,,,,,,"[""E150d - Caramel au sulfite d'ammonium""]",,,,
655,Caponata alla sicilliana - Regusto,8056737780731,,['France'],['Carboidrati / di cui zuccheri Fibre Proteine Sale'],[],?,164,686 kj(164 kcal),14,"1,6","6,9","6,5","1,2",['Regusto'],,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Pesto al basilico,8056737781134,,['France'],[],[],?,363,1519 kj(363 kcal),37,"4,8","3,5","2,6","3,2",,,,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Riso Carnaroli,8056737861867,,['France'],[],[],?,361,1510 kj(361 kcal),"0,6","0,1",78,"0,3",0,,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Mozzarella di Bufala Campana DOP,8056737982913,,['France'],[],[],?,278,1163 kj(278 kcal),23,"17,8","0,8","0,7","17,4",,,,"0,5","0,2",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne', 'Mozzarella di Bufala Campana']",,23 g,en quantité élevée,17.8 g,en quantité élevée,0.7 g,en faible quantité,0.5 g,en quantité modérée,,+5%,+5%,+1%,+15%,+10%,+19%,+21%,-18%,-18%,10,-3%,C,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
659,Cioccolato Vegan,8056772450750,['en:gluten-free'],['France'],[],[],?,630,2636 kj(630 kcal),"63,2","37,2","5,7",0,"10,1",,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Pané guttiau,8056772710038,,['France'],[],[],?,448,1874 kj(448 kcal),16,"2,5",64,"1,9","9,6",,,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Crema di Pistacchio - Fratelli Cantone,8057013300186,,['France'],"['sugar', 'vegetable fats', 'skimmed and whole milk', 'butter of cocoa', 'maltodextrines', 'emulsifying agent E 322', 'flavours', 'pure pistachio paste 10%', 'shelled pistachio 30%']","[""Pourrait contenir de l'huile de palme""]",?,554,2318 kj(554 kcal),40,"6,4",41,32,"6,4",['Fratelli Cantone'],,4,"0,006","0,002",,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de pistaches']",,40 g,en quantité élevée,6.4 g,en quantité élevée,32 g,en quantité élevée,0.006 g,en faible quantité,,-4%,-4%,+4%,-28%,+2%,-8%,-26%,-96%,-96%,14,-34%,D,-34%,,,,,,,,,,,,['E322 - Lécithines'],,,,
662,Taralli con patate e rosmarino,8057014130171,,['France'],[],[],?,473,1979 kj(473 kcal),"19,5",3,"64,7","2,1","8,9",,,,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Pizza croquante au romarin bio - Pizza croccantina - 250g,8057014370638,"['Bio', 'Sans colorants', 'Sans conservateurs']",['France'],[],[],?,410,1715 kj(410 kcal),"9,27","1,69","68,3","1,91","10,6",['Pizza croccantina'],,,"0,797","0,319",,250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Fusilli con buco,8057014380026,,['France'],[],[],?,354,1481 kj(354 kcal),"0,8","0,1","72,9","1,9","12,1",,,,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Rio nero,8057018720132,,['France'],[],[],?,344,1439 kj(344 kcal),"2,75","0,67","69,9","1,2","6,8",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Riso sant'andrea integrale - Ideariso,8057018720187,['Bio'],['France'],"['Riso di qualità adatto a tute le ricette a base di riso integrale', ' Claims nutrizionali: ad alto contenuto di fosforo', ' fonte di fibre e magnesio', ' Confezionato in atmosfera protettiva Conservare in luogo fresco e asciutto PESO NETTO 1 kg e']",[],?,354,1481 kj(354 kcal),2,"0,4","73,4","1,6","8,6",['Ideariso'],,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Condiment à Base d'Huile d'Olive et Citron de Sicile - Alberto - 250ml e,8057094168224,"['Bio', 'Bio européen', 'Agriculture UE', 'IT-BIO-002', 'Fabriqué en Italie', 'AB Agriculture Biologique']",['France'],"[""Huile d'olive vierge extra 98 %"", 'citron 2 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,830,3473 kj(830 kcal),92,"10,1",0,0,0,['Alberto'],,3,,,,250 ml e,"['Epicerie', 'Condiments']",,92 g,en quantité élevée,10.1 g,en quantité élevée,0 g,en faible quantité,,,,+493%,+480%,+1449%,+1491%,-100%,-100%,-100%,,,,,,,,,,,,,,,"['Verre', 'Bouteille']",['Italie'],,,,,"['Italie', 'Sicile']",
668,Taralli gusto classico,8057094340903,,['France'],[],[],?,324,1356 kj(324 kcal),"12,76","1,76","0,45",0,"6,78",,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Taralli al peperoncino - Terre Di Puglia,8057094340927,,['France'],"['Product of Italy TARALLI AL PEPERONCI\\,- Peso netto 300ge Ingredienti: Farina di grano tenero ""00""', 'vino bianco', 'olio di girasole atto olio extra vergine di Oliva sale', 'peperoncino frantumato ', '0,7%', ' ALLERGENt: GLUTtNE', 'POTREBBE CONTENERE SOLFITI', 'SESAMO', 'LATTE E PRODOTTI DERIVATI', 'SOIA', 'FRUTTA A']",[],?,324,1356 kj(324 kcal),"12,76","1,76","24,85","0,45","6,78",['Terre Di Puglia'],['Soja'],,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Taralli alla cipolla - La Spiga,8057094349012,,['France'],"[""IIA Ingredientl:Farl gra N',vino blanc6,olio dl seml dl ro e alto olelco aleApo!la yawl exÙa verg e di Oliva"", ' I 7', '- tebbe di:n ia,sesamoi a base di latte ru guscio', 'latte kN', 'QXngE•d s:Soft wheat flout type white wine', 'hlgh-oleic stnflower 011', 'salt', 'granular onlon 1%', 'exba vrgln ollve 011', ' Allergg-ls', ' gluten', 'it may Ontah Ùaces of: sUphltes', 'ny,sesame', 'mik mlk-basd']",[],?,324,1356 kj(324 kcal),"12,76","1,76","0,45","0,45","6,78",['La Spiga'],"['Gluten', 'Graines de sésame']",4,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Taralli Al Buongustaio,8057094349388,"['Fabriqué en Italie', 'en:palm-oil-free']",['France'],[],['Sans huile de palme'],?,324,1356 kj(324 kcal),"12,76","1,76","44,85","0,45","6,78",,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Latte,8057094587445,,['France'],[],[],?,496,2075 kj(496 kcal),"22,9",21,"63,6","36,4","8,5",,,,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Pancrik di farro,8057288360649,,['France'],[],[],?,448,1874 kj(448 kcal),17,"1,7","69,8","0,8",14,,,,"2,25","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Miel arancio - Valpi,8057432301030,"['Bio', 'Bio européen', 'IT-BIO-007']",['France'],"['MIELE di nettarc fiori di NON DISPERDEREILVETRO AMBIENTE lei ', 'ma •one ic', 'istalllècarztterisüca Nef caso si desideri pavere Il prodotto compfiètamente fluido risca dare a bagno maria non oltre i 400c', ' ORGANISMO Dl CONTROLLO AUTORIZZ', 'ATO MIPAAF IT', 'Blo', '007 OPERATORE CONTROLLATO MIELE ITALIANO BIOLOGICO']",[],?,322,1347 kj(322 kcal),0,0,80,80,"0,5",['Valpi'],,,"0,028","0,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,Huile d'olive,8057685120068,,['France'],[],[],?,824,3448 kj(824 kcal),92,14,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,Confettura Yellow Pera E Kiwi - Yello,8057685832046,['Bio'],['France'],"['Poire Bio 28%', ' Jus de Raisin concentrè bio 24%,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,127,531 kj(127 kcal),0,0,29,29,"0,82",['Yello'],,,"0,033","0,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Confettura Red Kiwi E Mela - Jam,8057685832053,['Bio'],['France'],['Jus de Ra:sin concentrè bio 31%'],[],?,136,569 kj(136 kcal),0,0,31,31,1,['Jam'],,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Jus de fruits au kiwi et coco - Kiwini,8057685833050,['Bio'],['France'],"['jus de raisin blanc concentré* 35%', 'purée de kiwi* 25%', 'eau', ""purée d' ananas* 15%"", 'lait de coco en poudre*']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,77,322 kj(77 kcal),"3,4","2,8","10,5","10,4","0,7",['Kiwini'],,1,"0,01","0,004",,,['Boissons'],,3.4 g,en quantité modérée,2.8 g,en quantité élevée,10.4 g,en quantité élevée,0.01 g,en faible quantité,,+38%,+34%,+880%,+2273%,-7%,+10%,+41%,-76%,-76%,15,+96%,E,+96%,,,,,,,,,,,,,,,,
679,Gingembre et Kiwi - Kiwini,8057685833074,['Bio'],['France'],"['Eau', 'purée de kiwi* 25%', 'jus de raisin blanc concentré* 25%', 'jus de gingembre* 5%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,32,134 kj(32 kcal),"0,5","0,1","6,9","6,9","0,5",['Kiwini'],,1,"0,01","0,004",,,['Boissons'],,0.5 g,en faible quantité,0.1 g,en faible quantité,6.9 g,en quantité élevée,0.01 g,en faible quantité,,-43%,-44%,+44%,-15%,-39%,-27%,+1%,-76%,-76%,8,+4%,D,+4%,,,,,,,,,,,,,,,,
680,Pizza BIO - Primavera,8057733000410,['Bio'],['France'],[],[],?,230,962 kj(230 kcal),2,"0,3",43,"0,3","7,2",,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Canappa e chlorella,8057733610008,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'IT-BIO-007']",['France'],[],"['Végétalien', 'Végétarien']",?,354,1481 kj(354 kcal),"2,8","0,4","61,6","3,4","16,4",,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Legù,8057733950005,,['France'],[],[],?,307,1284 kj(307 kcal),"2,9","0,3",43,"1,2",23,,,,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,Legu snack,8057733950258,,['France'],[],[],?,310,1297 kj(310 kcal),"2,1","0,2",46,"1,2",23,,,,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Olio extra virgine di oliva,8057737540110,,['France'],[],[],?,899,3761 kj(899 kcal),"99,9","14,46","0,01","0,01","0,01",,,,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Spaghetti,8057737831034,,['France'],[],[],?,356,1490 kj(356 kcal),"1,5","0,3","73,2","2,9","13,5",,,,"0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,1.5 g,en faible quantité,0.3 g,en faible quantité,2.9 g,en faible quantité,0.01 g,en faible quantité,,+1%,+1%,-14%,-19%,+6%,-2%,+14%,-59%,-59%,-1,,A,,,,,,,,,,,,,,,,,
686,Pesto alla Genovese,8057737832109,,['France'],[],[],?,586,2452 kj(586 kcal),57,"9,8","3,4","1,5","8,5",,,,"3,6","1,44",C,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,57 g,en quantité élevée,9.8 g,en quantité élevée,1.5 g,en faible quantité,3.6 g,en quantité élevée,,+31%,+31%,+29%,+50%,-42%,-34%,+79%,+46%,+46%,26,+33%,E,+33%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,
687,Trinidad Scorpion,8057741330158,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Condiment super piccante,8057741334200,,['France'],[],[],?,883,3694 kj(883 kcal),"99,9","13,8","0,1","0,1","0,1",,,,"0,007","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,SALÙ - Peperita,8057741339380,['Bio'],['France'],"['NUTRIZIONALI Wore energetico di cui lor which I Grassi [Fat grassi saturi Isaturated grassi insaturi /monosaturated Carboidrati/Carbohydrate 0,8g zuccheri 0,4g Sale 84,3g Proteine/Protein < O', 'lg Pepe*', 'Aceto di mele*', 'e frutt']","['Non végétalien', 'Non végétarien']",?,4,17 kj(4 kcal),"0,1","0,1","0,4","0,4","0,1",['Peperita'],,,"84,3","33,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Epicerie / Plats Et Produits Cuisinés / Plats Préparés Bio,8057741380177,"['Bio', 'en:gluten-free']",['France'],[],[],?,343,1435 kj(343 kcal),"3,6","0,6","50,5","4,8","20,2",,,,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Dnabio,8057741381129,"['Bio', 'en:gluten-free', 'Sans lactose']",['France'],"['riz* ', '53%', ' noix* ', 'graines de en flocons', ""sel rose de l'himalaya"", 'curcuma* curry e ', 'O', '0%', ""thym* *issu de l'agriculture biologique,""]","['Non végétalien', 'Non végétarien']",?,491,2054 kj(491 kcal),"27,6","2,8","48,4","2,4","10,5","['Dnabio', 'Dnabio naturale dentro']",['Fruits à coque'],,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Boulettes vegetales bio a la sauce tomate,8057741381419,"['Bio', 'en:gluten-free']",['France'],[],[],?,344,1439 kj(344 kcal),4,4,"49,4","14,9","21,8",,,,"5,6","2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Pâtes au basilic,8057741724094,,['France'],[],[],?,350,1464 kj(350 kcal),"3,1","0,8","63,9","0,7",15,,,,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Stracciatella,8057829290046,,['France'],[],[],?,190,795 kj(190 kcal),"8,2","6,2","25,4","22,4",4,,,,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,Iced tea mandarine,8057829319044,['en:gluten-free'],['France'],[],[],?,288,1205 kj(288 kcal),0,0,"69,29","68,34",0,,,,,,,,"['Boissons', 'Thés glacés']",,0 g,en faible quantité,0 g,en faible quantité,68.3 g,en quantité élevée,,,,+1209%,+1210%,-100%,-100%,+1215%,+1256%,-100%,,,,,,,,,,,,,,,,,,,,,,
696,Mandorella spalmabile erba cipollina,8057829683176,['en:gluten-free'],['France'],[],[],?,494,2067 kj(494 kcal),50,"4,9","8,5","1,1",1,,,,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,Matcha green tea,8058093890208,"['en:gluten-free', 'Sans lactose']",['France'],[],[],?,473,1979 kj(473 kcal),16,15,82,55,"0,34",,,,,,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,,,,,,,,,+3842%,+4023%,+16210%,+41917%,+3561%,+4445%,+62%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,
698,La biofetta biscottata,8058180462950,,['France'],[],[],?,452,1891 kj(452 kcal),"15,5","2,16","70,4","4,4","14,2",,,,"1,87","0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Olive extra vierge,8058180790404,,['France'],[],[],?,828,3464 kj(828 kcal),92,14,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Bio knabberhanf,8058253950841,['Bio'],['France'],[],[],?,440,1841 kj(440 kcal),26,"2,6",19,19,18,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Saucisson Piquant à Tartiner,8058333932125,,['France'],[],[],?,532,2226 kj(532 kcal),50,23,"0,3",0,20,,,,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Mozzarella di Bufala Campana,8058340890807,,['France'],[],[],?,262,1096 kj(262 kcal),23,16,"0,8",0,13,,,,"0,2","0,08",D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,23 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,,-2%,-2%,-0%,+1%,+8%,-100%,-10%,-67%,-67%,8,-22%,C,-22%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
703,Huile d'olive,8058340902029,,['France'],[],[],?,828,3464 kj(828 kcal),92,12,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Olio Extra Vergine di Olivia,8058340902517,,['France'],[],[],?,828,3464 kj(828 kcal),92,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Maccheroni - Govi Farm,8058341498118,"['Bio', 'en:gluten-free']",['France'],['farine de petits pois bio'],[],?,332,1389 kj(332 kcal),"1,5","0,3","56,7","2,57","20,63",['Govi Farm'],,,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Lenticchie gialle - Casarecce,8058341498149,"['Bio', 'en:gluten-free']",['France'],['farine de lentilles jaunes bio'],[],?,353,1477 kj(353 kcal),"1,8","0,4","48,9","1,4","22,3",['Casarecce'],,,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Casarecce - Libré Bio,8058341498187,"['Bio', 'en:gluten-free']",['France'],"['pois chiches bio', 'farine de haricots bio ,farine de lentilles bio', 'farine de petits pois bio']",[],?,335,1402 kj(335 kcal),"2,65","0,4","48,88","2,37","20,18",['Libré Bio'],,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Maccheroni Di Fagioli Neri 250G - Librebio,8058341498231,"['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",['France'],"[""farine bio d'harico"", ' \rpeut contenir des traces de soja']","['Végétalien', 'Végétarien']",?,303,1268 kj(303 kcal),20,"0,4","47,7","2,4","20,2",['Librebio'],,,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Sauce d'Ours avec Truffe,8058341671108,,['France'],[],[],?,463,1937 kj(463 kcal),"34,6","3,5","28,7","28,7","9,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Unicum,8058341671214,,['France'],[],[],?,448,1874 kj(448 kcal),"32,3","3,6","29,7","29,7","10,1",,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Sauce de la foret,8058341676226,,['France'],[],[],?,1395,5837 kj(1395 kcal),"30,1","4,1","14,8","10,9","3,9",,,,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Piadina fresca - EMMEGI,8058450340025,,['France'],"['Farine de blé tendre', 'eau', ""huile d'olive vierge extra sel"", 'poudre à lever: diphosphates carbonate acide de sodium', 'amidon de blé', 'huile de tournesol', ' Peut contenir des traces de soja']",[],?,328,1372 kj(328 kcal),"11,3","1,5","48,2","1,2","7,3",['EMMEGI'],,4,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,,,
713,Conchigliette de blé dur - Del Luca,8058456970059,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,2",68,0,13,['Del Luca'],,,"0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,Biscuits con cereali,8058669195683,,['France'],[],[],?,458,1916 kj(458 kcal),16,"1,5",67,23,"8,1",,,,"0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Paté si carne suina e bovina,8058669195744,,['France'],[],[],?,193,808 kj(193 kcal),14,6,4,"0,2",11,,,,"3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Ragú alla bolognese,8058669195751,,['France'],[],[],?,82,343 kj(82 kcal),"4,3",1,"3,2","2,4","6,8",,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Crema di pistacchio - Tresori Del Cuoco,8058669197625,,['France'],"['ingredjenti: F*tacchio ', '40%', 'zucchero', 'grasso vegetaie', 'latte scrematé in polvere', 'emulsjonante: lecitina di scia', 'atomi naturaii', ' Può contenere tracce di altra frutta a guscio', ' consumarsi preferibilmente entro fine/lotto: vedi capsula']",[],?,591,2473 kj(591 kcal),"40,9","28,6","45,2","44,5","9,3",['Tresori Del Cuoco'],,,"0,08","0,032",,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Crèmes de pistaches']",,40.9 g,en quantité élevée,28.6 g,en quantité élevée,44.5 g,en quantité élevée,0.08 g,en faible quantité,,+3%,+3%,+6%,+224%,+12%,+29%,+7%,-53%,-53%,26,+22%,E,+22%,,,,,,,,,,,,,,,,
718,Pates Il Chitarrone,8058669800228,,['France'],[],[],?,330,1381 kj(330 kcal),"0,5","0,1","69,3","3,65",13,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Pur jus de 3 fruits pressés,8058772080647,,['France'],[],[],?,44,184 kj(44 kcal),0,0,"9,9","9,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Voglines Integrali - LÉONARDO - 250g,8058774350212,['en:palm-oil-free'],['France'],"[""farine de froment '0'"", ' farine de froment complète', 'huiles et graisses végétales non hydrogénées ', 'huile de coco', 'huile de tournesol', 'fécule de pommes de terre', 'sucre', 'lait en poudre', 'pépites de chocolat 2% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsiﬁant |écithine de soja', 'extrait de vanille', 'miel', 'œufs', ' poudres à lever ', 'pyrophosphate acide de sodium', 'bicarbonate de sodium', ' sel', 'arôme naturel de vanille', 'arômes naturels']","['Sans huile de palme', 'Non végétalien']",2182,?,2182 kj(522 kcal),30,18,54,16,"7,9",['LÉONARDO'],['Œufs'],4,"0,5","0,2",C,250 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés']",,30 g,en quantité élevée,18 g,en quantité élevée,16 g,en quantité élevée,0.5 g,en quantité modérée,+5%,,+6%,+29%,+29%,-14%,-37%,+27%,-27%,-27%,18,-18%,D,-18%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,BISCUITS SABLÉS PÉPITES DE CHOCOLAT,['Sachet'],['ITALIE'],['Noz'],"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,,,
